"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M39087-0012",802.850237613093,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-82.659241,38.508075,NA,142.732260869565,92,0,91,0.00153014
"2","PP1001","M39087-0012",440.679485503561,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-82.659241,38.508075,NA,232.484772727273,92,4,91,0.05595426
"3","PP10075","M39087-0012",1205.64759704953,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-82.659241,38.508075,NA,15.3283,92,22,91,3.152e-05
"4","PP1008","M39087-0012",279.046087663466,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-82.659241,38.508075,NA,177.649362068966,92,34,91,0.08570593
"5","PP1010","M39087-0012",427.952028372199,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-82.659241,38.508075,NA,193.883464788732,92,21,91,0.06518466
"6","PP1012","M39087-0012",414.095390056715,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-82.659241,38.508075,NA,17.1713448275862,92,5,91,0.002883
"7","PP10343","M39087-0012",590.449283281578,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-82.659241,38.508075,NA,1.51985227272727,92,4,91,2.7e-07
"8","PP1040","M39087-0012",240.853232089394,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-82.659241,38.508075,NA,35.7298695652174,92,0,91,0.013509028
"9","PP1043","M39087-0012",401.759577822967,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-82.659241,38.508075,NA,52.81425,92,40,91,0.02394004
"10","PP1046","M39087-0012",809.450407749797,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-82.659241,38.508075,NA,6.44823684210526,92,54,91,0.00026659
"11","PP1048","M39087-0012",741.740316223525,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-82.659241,38.508075,NA,15.2080543478261,92,0,91,0.00089954
"12","PP1058","M39087-0012",857.627512445608,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-82.659241,38.508075,NA,3.2285,92,84,91,NA
"13","PP1073","M39087-0012",853.566321222075,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-82.659241,38.508075,NA,13.1931463414634,92,10,91,0.00099457
"14","PP1077","M39087-0012",951.776507904047,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-82.659241,38.508075,NA,8.76861038961039,92,15,91,0.00042197
"15","PP10773","M39087-0012",335.711077168778,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-82.659241,38.508075,NA,0.383228915662651,92,9,91,8.7e-07
"16","PP10774","M39087-0012",540.904383178362,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-82.659241,38.508075,NA,0.516945652173913,92,0,91,5.6e-07
"17","PP108","M39087-0012",1602.3304548983,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-82.659241,38.508075,NA,4.60642391304348,92,0,91,0.00029095
"18","PP1081","M39087-0012",744.885910190637,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-82.659241,38.508075,NA,8.83638202247191,92,3,91,0.00056127
"19","PP1091","M39087-0012",1237.48359972696,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-82.659241,38.508075,NA,69.104988372093,92,6,91,0.0025417
