"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M48215-0043",1239.73103723857,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-98.291069,26.22621,13.8790682876755,142.732260869565,0,0,91,0.00169858
"2","PP1001","M48215-0043",1823.41436860811,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-98.291069,26.22621,13.8790682876755,232.484772727273,0,4,91,1.00969230769231e-05
"3","PP10075","M48215-0043",2451.47747427227,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-98.291069,26.22621,13.8790682876755,15.3283,0,22,91,2.37692307692308e-07
"4","PP1008","M48215-0043",1773.82384810305,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-98.291069,26.22621,13.8790682876755,177.649362068966,0,34,91,5.22615384615385e-06
"5","PP1010","M48215-0043",1788.74300533358,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-98.291069,26.22621,13.8790682876755,193.883464788732,0,21,91,1.25992307692308e-05
"6","PP1012","M48215-0043",1655.71901481202,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-98.291069,26.22621,13.8790682876755,17.1713448275862,0,5,91,1.05846153846154e-06
"7","PP10343","M48215-0043",2581.66830953878,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-98.291069,26.22621,13.8790682876755,1.51985227272727,0,4,91,7.69230769230769e-10
"8","PP1040","M48215-0043",1953.2342601015,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-98.291069,26.22621,13.8790682876755,35.7298695652174,0,0,91,9.27692307692308e-07
"9","PP1043","M48215-0043",1710.28208873117,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-98.291069,26.22621,13.8790682876755,52.81425,0,40,91,3.34076923076923e-06
"10","PP1046","M48215-0043",1935.69195137085,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-98.291069,26.22621,13.8790682876755,6.44823684210526,0,54,91,2.82307692307692e-07
"11","PP1048","M48215-0043",1879.58716130483,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-98.291069,26.22621,13.8790682876755,15.2080543478261,0,0,91,6.34615384615385e-07
"12","PP1058","M48215-0043",1850.13935277895,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-98.291069,26.22621,13.8790682876755,3.2285,0,84,91,NA
"13","PP1073","M48215-0043",1846.90249581819,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-98.291069,26.22621,13.8790682876755,13.1931463414634,0,10,91,1.38615384615385e-06
"14","PP1077","M48215-0043",1823.95959201153,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-98.291069,26.22621,13.8790682876755,8.76861038961039,0,15,91,9.79230769230769e-07
"15","PP10773","M48215-0043",2163.75117867063,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-98.291069,26.22621,13.8790682876755,0.383228915662651,0,9,91,2.03076923076923e-07
"16","PP10774","M48215-0043",2323.31961971862,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-98.291069,26.22621,13.8790682876755,0.516945652173913,0,0,91,2.52307692307692e-07
"17","PP108","M48215-0043",1322.17956970298,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-98.291069,26.22621,13.8790682876755,4.60642391304348,0,0,91,1.86153846153846e-05
"18","PP1081","M48215-0043",1845.08336948558,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-98.291069,26.22621,13.8790682876755,8.83638202247191,0,3,91,2.73846153846154e-07
