"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M42125-0005",1094.83678879323,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-79.902222,40.146667,20.4799090232786,142.732260869565,0,0,91,0.00051587
"2","PP1001","M42125-0005",642.539512366548,2,0.00184509085834019,0.69709789427363,0.837995046257778,0,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-79.902222,40.146667,20.4799090232786,232.484772727273,0,4,91,0.048232655
"3","PP10075","M42125-0005",1204.93136594698,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-79.902222,40.146667,20.4799090232786,15.3283,0,22,91,5.54e-05
"4","PP1008","M42125-0005",553.54961919332,1,0.0204618451778497,0.0471579010303292,0.196465601029914,0,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-79.902222,40.146667,20.4799090232786,177.649362068966,0,34,91,0.016510335
"5","PP1010","M42125-0005",647.317165781085,2,0.0031240115610187,0.512444962217364,0.722060869566259,0,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-79.902222,40.146667,20.4799090232786,193.883464788732,0,21,91,0.036615265
"6","PP1012","M42125-0005",688.904532141144,2,-0.00815046834268265,0.342476301585695,0.599616722070654,0,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-79.902222,40.146667,20.4799090232786,17.1713448275862,0,5,91,0.00072438
"7","PP10343","M42125-0005",301.492422919355,0,-0.00878137027870043,0.0309160375352007,0.155362872170566,0,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-79.902222,40.146667,20.4799090232786,1.51985227272727,0,4,91,1.87e-06
"8","PP1040","M42125-0005",428.183037291563,1,0.00443760918367125,0.11534951663967,0.337961314435049,0,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-79.902222,40.146667,20.4799090232786,35.7298695652174,0,0,91,0.012697205
"9","PP1043","M42125-0005",659.861387760901,2,0.00948073724604792,0.334269259303544,0.591772111230801,0,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-79.902222,40.146667,20.4799090232786,52.81425,0,40,91,0.006915275
"10","PP1046","M42125-0005",936.627588319234,3,0.00352774057386924,0.594327723192998,0.768645228044357,0,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-79.902222,40.146667,20.4799090232786,6.44823684210526,0,54,91,0.00035842
"11","PP1048","M42125-0005",888.369194543982,2,-0.00726356230020466,0.191146976094926,0.429945323001052,0,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-79.902222,40.146667,20.4799090232786,15.2080543478261,0,0,91,0.001134395
"12","PP1058","M42125-0005",1008.94338661514,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-79.902222,40.146667,20.4799090232786,3.2285,0,84,91,NA
"13","PP1073","M42125-0005",1005.88795056161,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-79.902222,40.146667,20.4799090232786,13.1931463414634,0,10,91,0.00106541
"14","PP1077","M42125-0005",1107.95224156477,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-79.902222,40.146667,20.4799090232786,8.76861038961039,0,15,91,0.000397215
"15","PP10773","M42125-0005",340.615320023664,1,0.00774520335625228,0.324100468305505,0.580893390145758,0,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-79.902222,40.146667,20.4799090232786,0.383228915662651,0,9,91,4.45e-06
"16","PP10774","M42125-0005",463.530204825831,1,0.0173202739334706,0.169149373021412,0.418394399311529,0,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-79.902222,40.146667,20.4799090232786,0.516945652173913,0,0,91,6.7e-07
"17","PP108","M42125-0005",1836.35494037458,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-79.902222,40.146667,20.4799090232786,4.60642391304348,0,0,91,0.00015441
"18","PP1081","M42125-0005",902.157349585129,2,0.00525244510421205,0.71467477275119,0.847575458647415,0,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-79.902222,40.146667,20.4799090232786,8.83638202247191,0,3,91,0.00063913
"19","PP1091","M42125-0005",1400.08881643251,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-79.902222,40.146667,20.4799090232786,69.104988372093,0,6,91,0.00201242
"20","PP1104","M42125-0005",953.060388517347,3,-0.00226251973161301,0.843421657529106,0.921023235164914,0,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-79.902222,40.146667,20.4799090232786,15.6445384615385,0,1,91,0.00115703
"21","PP1122","M42125-0005",1168.94856040054,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-79.902222,40.146667,20.4799090232786,4.60428888888889,0,2,91,0.0001677
"22","PP113","M42125-0005",2733.98749979918,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-79.902222,40.146667,20.4799090232786,65.3253586956522,0,0,91,0.00055655
"23","PP1131","M42125-0005",1081.07708026952,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-79.902222,40.146667,20.4799090232786,5.26251315789474,0,16,91,0.00014771
"24","PP1167","M42125-0005",951.173408475477,3,0.00179987600348857,0.483098294421297,0.707437047746228,0,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-79.902222,40.146667,20.4799090232786,9.19611956521739,0,0,91,0.000803335
"25","PP1175","M42125-0005",1106.2225289268,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-79.902222,40.146667,20.4799090232786,1.98909523809524,0,8,91,NA
"26","PP1217","M42125-0005",1319.97696590279,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.2569,43.1606,-79.902222,40.146667,20.4799090232786,6.16370930232558,0,6,91,0.00017721
"27","PP1218","M42125-0005",932.354894473231,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.8233,41.4569,-79.902222,40.146667,20.4799090232786,22.8831282051282,0,14,91,NA
"28","PP1239","M42125-0005",1331.41901237774,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.6986,37.0719,-79.902222,40.146667,20.4799090232786,12.3639534883721,0,6,91,0.00044493
"29","PP1241","M42125-0005",1286.1797185135,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.6389,38.3472,-79.902222,40.146667,20.4799090232786,86.4613409090909,0,4,91,0.00335084
"30","PP1250","M42125-0005",1324.68305301436,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.2692,39.0072,-79.902222,40.146667,20.4799090232786,11.8929885057471,0,5,91,0.00049593
"31","PP1252","M42125-0005",1349.16127120124,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.5669,39.0522,-79.902222,40.146667,20.4799090232786,14.3125652173913,0,0,91,0.0005268
"32","PP126","M42125-0005",2910.10488432384,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.9047,32.16,-79.902222,40.146667,20.4799090232786,11.3513804347826,0,0,91,6.547e-05
"33","PP127","M42125-0005",1835.62964711236,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-99.1753,34.0825,-79.902222,40.146667,20.4799090232786,13.9272666666667,0,2,91,0.00026336
"34","PP1295","M42125-0005",1268.37877797881,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.6405,39.1486,-79.902222,40.146667,20.4799090232786,19.2452386363636,0,4,91,0.00073821
"35","PP1353","M42125-0005",321.224877678739,1,0.00555020810170245,0.0771653268971795,0.263227032771924,0,1000,"06-01","08-31",2005,13,5,-82.6176,38.1707,-79.902222,40.146667,20.4799090232786,143.361094117647,0,7,91,0.03338182
"36","PP1355","M42125-0005",492.233444240556,1,0.0282073644669907,0.000148727835375574,0.00429417822866203,1,1000,"06-01","08-31",2005,13,5,-84.7139,37.7889,-79.902222,40.146667,20.4799090232786,162.904101265823,0,13,91,0.02039463
"37","PP1356","M42125-0005",468.159973398423,1,0.00646208931346705,0.0506991189306341,0.201191010978285,0,1000,"06-01","08-31",2005,13,5,-85.035,38.7497,-79.902222,40.146667,20.4799090232786,158.662011363636,0,4,91,0.047065735
"38","PP136","M42125-0005",1165.98056515799,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-81.6339,29.7333,-79.902222,40.146667,20.4799090232786,94.4782826086957,0,0,91,7.507e-05
"39","PP1361","M42125-0005",487.097368143633,1,0.0503729234457686,0.000406769908687992,0.0096410539551721,1,1000,"06-01","08-31",2005,13,5,-84.8483,38.0478,-79.902222,40.146667,20.4799090232786,9.6974347826087,0,0,91,NA
"40","PP1363","M42125-0005",561.343628719778,1,0.000150167507303577,0.977607854235524,0.988186678883521,0,1000,"06-01","08-31",2005,13,5,-85.8894,38.1828,-79.902222,40.146667,20.4799090232786,57.4235632183908,0,5,91,0.010296265
"41","PP1364","M42125-0005",569.1394804135,1,-0.0105137607957009,0.0375641861849898,0.171290467679955,0,1000,"06-01","08-31",2005,13,5,-85.91,38.0531,-79.902222,40.146667,20.4799090232786,69.6929661016949,0,33,91,0.013240615
"42","PP1372","M42125-0005",713.112824000054,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.5912,37.8453,-79.902222,40.146667,20.4799090232786,6.61208333333333,0,80,91,NA
"43","PP1374","M42125-0005",672.679170154335,2,0.0118936023363049,0.325477758795325,0.581848099012838,0,1000,"06-01","08-31",2005,13,5,-87.0597,37.7958,-79.902222,40.146667,20.4799090232786,16.827358974359,0,14,91,0.002763295
