"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M42101-0014",1394.44212584639,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-75.240822,40.049616,NA,142.732260869565,92,0,91,0.00035879
"2","PP1001","M42101-0014",1040.12311582243,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-75.240822,40.049616,NA,232.484772727273,92,4,91,0.0199982830769231
"3","PP10075","M42101-0014",1506.17546390485,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-75.240822,40.049616,NA,15.3283,92,22,91,0.00010266
"4","PP1008","M42101-0014",936.573456334933,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-75.240822,40.049616,NA,177.649362068966,92,34,91,0.00496712730769231
"5","PP1010","M42101-0014",1044.38724879063,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-75.240822,40.049616,NA,193.883464788732,92,21,91,0.0140006661538462
"6","PP1012","M42101-0014",1072.9253620749,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-75.240822,40.049616,NA,17.1713448275862,92,5,91,0.000259976923076923
"7","PP10343","M42101-0014",133.078415528423,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-75.240822,40.049616,NA,1.51985227272727,92,4,91,0.00476187076923077
"8","PP1040","M42101-0014",825.369730004391,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-75.240822,40.049616,NA,35.7298695652174,92,0,91,0.00402041461538461
"9","PP1043","M42101-0014",1050.4821864449,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-75.240822,40.049616,NA,52.81425,92,40,91,0.00242716692307692
"10","PP1046","M42101-0014",1317.73949827848,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-75.240822,40.049616,NA,6.44823684210526,92,54,91,0.000326968076923077
"11","PP1048","M42101-0014",1276.16672843039,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-75.240822,40.049616,NA,15.2080543478261,92,0,91,0.000875872692307692
"12","PP1058","M42101-0014",1396.16470878507,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-75.240822,40.049616,NA,3.2285,92,84,91,NA
