"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M10003-1012",1335.56899288755,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-75.761299,39.691962,18.8123032740386,142.732260869565,0,0,91,0.00058881
"2","PP1001","M10003-1012",998.602386837466,3,0.00284463920231307,0.652513556669002,0.852199908756973,0,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-75.761299,39.691962,18.8123032740386,232.484772727273,0,4,91,0.02637966
"3","PP10075","M10003-1012",1497.1706629517,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-75.761299,39.691962,18.8123032740386,15.3283,0,22,91,8.13e-05
"4","PP1008","M10003-1012",886.965914211962,2,-0.00994797015077651,0.36688367023591,0.658302264705313,0,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-75.761299,39.691962,18.8123032740386,177.649362068966,0,34,91,0.00753541
"5","PP1010","M10003-1012",1001.06707862817,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-75.761299,39.691962,18.8123032740386,193.883464788732,0,21,91,0.01912175
"6","PP1012","M10003-1012",1023.18366094569,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-75.761299,39.691962,18.8123032740386,17.1713448275862,0,5,91,0.00044168
"7","PP10343","M10003-1012",137.340971494042,0,-0.0067978538995049,0.0947371913593092,0.340550621301049,0,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-75.761299,39.691962,18.8123032740386,1.51985227272727,0,4,91,0.00207123714285714
"8","PP1040","M10003-1012",782.610835145884,2,0.00439637262935509,0.105196351494849,0.364768348808388,0,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-75.761299,39.691962,18.8123032740386,35.7298695652174,0,0,91,0.00545868
"9","PP1043","M10003-1012",1002.89414950582,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-75.761299,39.691962,18.8123032740386,52.81425,0,40,91,0.00348785
"10","PP1046","M10003-1012",1287.57495870584,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-75.761299,39.691962,18.8123032740386,6.44823684210526,0,54,91,0.00042786
"11","PP1048","M10003-1012",1243.09330764065,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-75.761299,39.691962,18.8123032740386,15.2080543478261,0,0,91,0.00103679
"12","PP1058","M10003-1012",1363.46183947445,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-75.761299,39.691962,18.8123032740386,3.2285,0,84,91,NA
