"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M48113-0057",852.593092082516,2,0.00129368284775652,0.638605628781704,0.831319619134638,0,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-96.873056,32.778889,15.3225601810519,142.732260869565,2,0,91,0.00213267
"2","PP1001","M48113-0057",1159.52336323395,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-96.873056,32.778889,15.3225601810519,232.484772727273,2,4,91,2.032e-05
"3","PP10075","M48113-0057",1713.72294751395,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-96.873056,32.778889,15.3225601810519,15.3283,2,22,91,2.06e-06
"4","PP1008","M48113-0057",1170.12298227868,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-96.873056,32.778889,15.3225601810519,177.649362068966,2,34,91,4.43e-06
"5","PP1010","M48113-0057",1131.95782331636,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-96.873056,32.778889,15.3225601810519,193.883464788732,2,21,91,2.645e-05
"6","PP1012","M48113-0057",1036.97327649095,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-96.873056,32.778889,15.3225601810519,17.1713448275862,2,5,91,1.92e-06
"7","PP10343","M48113-0057",2021.91136427015,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-96.873056,32.778889,15.3225601810519,1.51985227272727,2,4,91,1e-08
"8","PP1040","M48113-0057",1326.6212658684,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-96.873056,32.778889,15.3225601810519,35.7298695652174,2,0,91,1.68e-06
"9","PP1043","M48113-0057",1077.25043630527,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-96.873056,32.778889,15.3225601810519,52.81425,2,40,91,4.76e-06
"10","PP1046","M48113-0057",1210.30790235096,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-96.873056,32.778889,15.3225601810519,6.44823684210526,2,54,91,1.29e-06
"11","PP1048","M48113-0057",1161.28414876456,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-96.873056,32.778889,15.3225601810519,15.2080543478261,2,0,91,2.39e-06
"12","PP1058","M48113-0057",1120.2102617578,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-96.873056,32.778889,15.3225601810519,3.2285,2,84,91,NA
"13","PP1073","M48113-0057",1117.30880154347,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-96.873056,32.778889,15.3225601810519,13.1931463414634,2,10,91,6.36e-06
"14","PP1077","M48113-0057",1087.84637158422,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-96.873056,32.778889,15.3225601810519,8.76861038961039,2,15,91,5.59e-06
"15","PP10773","M48113-0057",1675.3375935045,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-96.873056,32.778889,15.3225601810519,0.383228915662651,2,9,91,3.3e-07
"16","PP10774","M48113-0057",1867.14601546336,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-96.873056,32.778889,15.3225601810519,0.516945652173913,2,0,91,3.9e-07
"17","PP108","M48113-0057",682.111266809855,2,-0.0282536966383069,0.0283914577982503,0.152761118064922,0,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-96.873056,32.778889,15.3225601810519,4.60642391304348,2,0,91,0.00026847
"18","PP1081","M48113-0057",1126.64114614163,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-96.873056,32.778889,15.3225601810519,8.83638202247191,2,3,91,6.3e-07
"19","PP1091","M48113-0057",1060.42104863528,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-96.873056,32.778889,15.3225601810519,69.104988372093,2,6,91,8.991e-05
"20","PP1104","M48113-0057",1021.62902991369,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-96.873056,32.778889,15.3225601810519,15.6445384615385,2,1,91,3.86e-06
"21","PP1122","M48113-0057",1065.89356720238,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-96.873056,32.778889,15.3225601810519,4.60428888888889,2,2,91,2.56e-06
"22","PP113","M48113-0057",1264.64768705745,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-96.873056,32.778889,15.3225601810519,65.3253586956522,2,0,91,0.00519333
"23","PP1131","M48113-0057",1150.0317466204,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-96.873056,32.778889,15.3225601810519,5.26251315789474,2,16,91,1.16e-06
"24","PP1167","M48113-0057",1086.10477505495,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-96.873056,32.778889,15.3225601810519,9.19611956521739,2,0,91,4.24e-06
"25","PP1175","M48113-0057",1018.94008509751,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-96.873056,32.778889,15.3225601810519,1.98909523809524,2,8,91,NA
"26","PP1217","M48113-0057",1160.99456519797,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.2569,43.1606,-96.873056,32.778889,15.3225601810519,6.16370930232558,2,6,91,4.97e-06
"27","PP1218","M48113-0057",1102.28572576821,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.8233,41.4569,-96.873056,32.778889,15.3225601810519,22.8831282051282,2,14,91,NA
"28","PP1239","M48113-0057",516.001517404175,1,0.00340596000965386,0.286955444457893,0.579630930998003,0,1000,"06-01","08-31",2005,13,5,-94.6986,37.0719,-96.873056,32.778889,15.3225601810519,12.3639534883721,2,6,91,0.00022415
"29","PP1241","M48113-0057",650.104729760113,2,-0.00622309859363581,0.0652827298190213,0.262860263112351,0,1000,"06-01","08-31",2005,13,5,-94.6389,38.3472,-96.873056,32.778889,15.3225601810519,86.4613409090909,2,4,91,0.0003913
"30","PP1250","M48113-0057",706.051807341485,2,-0.00563347764589434,0.326493146527174,0.616483953691061,0,1000,"06-01","08-31",2005,13,5,-95.2692,39.0072,-96.873056,32.778889,15.3225601810519,11.8929885057471,2,5,91,4.366e-05
"31","PP1252","M48113-0057",705.965520332414,2,-0.000506490361740889,0.866908242689052,0.918387995847141,0,1000,"06-01","08-31",2005,13,5,-95.5669,39.0522,-96.873056,32.778889,15.3225601810519,14.3125652173913,2,0,91,5.376e-05
"32","PP126","M48113-0057",1319.91177986813,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.9047,32.16,-96.873056,32.778889,15.3225601810519,11.3513804347826,2,0,91,0.00101229
"33","PP127","M48113-0057",258.336692327041,0,-0.0003464382378182,0.986985237403959,0.990242614425094,0,1000,"06-01","08-31",2005,13,5,-99.1753,34.0825,-96.873056,32.778889,15.3225601810519,13.9272666666667,2,2,91,0.00440245
"34","PP1295","M48113-0057",734.836664232722,2,0.0118756847604075,0.000817520121107179,0.012739120690178,1,1000,"06-01","08-31",2005,13,5,-94.6405,39.1486,-96.873056,32.778889,15.3225601810519,19.2452386363636,2,4,91,2.63e-05
"35","PP1353","M48113-0057",1423.27911541528,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-82.6176,38.1707,-96.873056,32.778889,15.3225601810519,143.361094117647,2,7,91,8.72e-06
"36","PP1355","M48113-0057",1236.53292080373,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.7139,37.7889,-96.873056,32.778889,15.3225601810519,162.904101265823,2,13,91,1.204e-05
"37","PP1356","M48113-0057",1257.32923732373,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.035,38.7497,-96.873056,32.778889,15.3225601810519,158.662011363636,2,4,91,1.638e-05
"38","PP136","M48113-0057",1488.78260847172,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-81.6339,29.7333,-96.873056,32.778889,15.3225601810519,94.4782826086957,2,0,91,0.00059859
"39","PP1361","M48113-0057",1237.32419317497,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8483,38.0478,-96.873056,32.778889,15.3225601810519,9.6974347826087,2,0,91,NA
"40","PP1363","M48113-0057",1161.95941687543,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8894,38.1828,-96.873056,32.778889,15.3225601810519,57.4235632183908,2,5,91,6.36e-06
"41","PP1364","M48113-0057",1153.71843329984,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.91,38.0531,-96.873056,32.778889,15.3225601810519,69.6929661016949,2,33,91,1.079e-05
"42","PP1372","M48113-0057",1013.29450354333,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.5912,37.8453,-96.873056,32.778889,15.3225601810519,6.61208333333333,2,80,91,NA
"43","PP1374","M48113-0057",1051.09350888212,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.0597,37.7958,-96.873056,32.778889,15.3225601810519,16.827358974359,2,14,91,9.07e-06
"44","PP1378","M48113-0057",1030.0715893333,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-86.9783,37.2608,-96.873056,32.778889,15.3225601810519,299.692436619718,2,21,91,8.951e-05
"45","PP1379","M48113-0057",883.939116755665,2,-0.000356547557269326,0.813983375121121,0.891158549151603,0,1000,"06-01","08-31",2005,13,5,-88.775,37.1517,-96.873056,32.778889,15.3225601810519,108.766151898734,2,13,91,8.172e-05
"46","PP1381","M48113-0057",1080.70771665317,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-86.7917,37.9628,-96.873056,32.778889,15.3225601810519,162.479735632184,2,5,91,2.955e-05
"47","PP1382","M48113-0057",1008.95405758786,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.5028,37.6472,-96.873056,32.778889,15.3225601810519,11.1061111111111,2,2,91,9.15e-06
"48","PP1383","M48113-0057",1008.88829633914,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.5033,37.6467,-96.873056,32.778889,15.3225601810519,32.8824651162791,2,6,91,1.678e-05
"49","PP1384","M48113-0057",1215.17178564081,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.5917,37,-96.873056,32.778889,15.3225601810519,65.7681956521739,2,0,91,1.075e-05
"50","PP1393","M48113-0057",438.209216281686,1,-0.0100845618996373,5.75787492703261e-05,0.00166704188363611,0,1000,"06-01","08-31",2005,13,5,-93.2917,30.2861,-96.873056,32.778889,15.3225601810519,42.2187826086957,2,0,91,0.0094089
"51","PP1552","M48113-0057",1979.91711855441,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.365,39.3269,-96.873056,32.778889,15.3225601810519,113.853950617284,2,11,91,1.44e-06
"52","PP1554","M48113-0057",1962.14349890544,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.5268,39.1781,-96.873056,32.778889,15.3225601810519,70.5514137931034,2,5,91,1.04e-06
"53","PP1570","M48113-0057",1867.78138692032,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-77.8269,39.595,-96.873056,32.778889,15.3225601810519,16.8623913043478,2,23,91,NA
"54","PP1571","M48113-0057",1931.66164994184,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.6861,38.5444,-96.873056,32.778889,15.3225601810519,169.991,2,0,91,3.93e-06
"55","PP1572","M48113-0057",1885.02418012798,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-77.4644,39.2086,-96.873056,32.778889,15.3225601810519,117.270988764045,2,3,91,2.2e-06
"56","PP1573","M48113-0057",1902.30885392893,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9767,38.3592,-96.873056,32.778889,15.3225601810519,282.396275862069,2,5,91,7.26e-06
"57","PP160","M48113-0057",1226.46071027168,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-109.8931,32.0619,-96.873056,32.778889,15.3225601810519,5.73258695652174,2,0,91,NA
"58","PP1606","M48113-0057",2378.73123112712,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-72.6053,42.2814,-96.873056,32.778889,15.3225601810519,11.3578555555556,2,2,91,1e-08
"59","PP1613","M48113-0057",2477.0029575161,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-71.146,41.737,-96.873056,32.778889,15.3225601810519,11.8615617977528,2,3,91,NA
"60","PP1619","M48113-0057",2472.64221768466,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-71.1914,41.7125,-96.873056,32.778889,15.3225601810519,87.0745487804878,2,10,91,9e-08
"61","PP1626","M48113-0057",2522.4292365773,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-70.8792,42.5267,-96.873056,32.778889,15.3225601810519,26.4023417721519,2,13,91,NA
"62","PP165","M48113-0057",405.458952814388,1,0.000647192020396169,0.692196791211044,0.864179977528367,0,1000,"06-01","08-31",2005,13,5,-95.2889,36.1906,-96.873056,32.778889,15.3225601810519,56.3204782608696,2,0,91,0.00107527
"63","PP1695","M48113-0057",1488.50968661587,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-86.2417,43.2542,-96.873056,32.778889,15.3225601810519,38.7812272727273,2,4,91,NA
