"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M39061-0043",801.74782760004,2,0.00336176785029538,0.153470294025547,0.360585499305663,0,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-84.414356,39.290319,20.1009589879605,142.732260869565,0,0,91,0.00161268
"2","PP1001","M39061-0043",268.122870326286,0,0.00613266333584801,0.120830578243285,0.312929095013611,0,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-84.414356,39.290319,20.1009589879605,232.484772727273,0,4,91,0.15491062
"3","PP10075","M39061-0043",1055.13521907097,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-84.414356,39.290319,20.1009589879605,15.3283,0,22,91,3.9e-05
"4","PP1008","M39061-0043",168.214404687624,0,0.00895891435031524,0.308256269005068,0.536550237731827,0,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-84.414356,39.290319,20.1009589879605,177.649362068966,0,34,91,0.09894213
"5","PP1010","M39061-0043",260.612388496,0,-0.0023621199784848,0.523151828270928,0.719292478080156,0,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-84.414356,39.290319,20.1009589879605,193.883464788732,0,21,91,0.1804552
"6","PP1012","M39061-0043",296.356878131737,0,0.0159523094857943,0.0264652944193168,0.116294090828529,0,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-84.414356,39.290319,20.1009589879605,17.1713448275862,0,5,91,0.00436821
"7","PP10343","M39061-0043",699.622880685993,2,-0.00809907172817376,0.0202822277488473,0.0999706396143467,0,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-84.414356,39.290319,20.1009589879605,1.51985227272727,0,4,91,6e-08
"8","PP1040","M39061-0043",70.3310615855698,0,0.00414671680840608,0.0761847740345502,0.231489637390446,0,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-84.414356,39.290319,20.1009589879605,35.7298695652174,0,0,91,0.05422576
"9","PP1043","M39061-0043",261.720031936804,0,0.0274746234124439,0.000788281333713208,0.011210394376987,1,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-84.414356,39.290319,20.1009589879605,52.81425,0,40,91,0.0542632
"10","PP1046","M39061-0043",635.219417101578,2,0.00215470858257764,0.600565993535274,0.765600293007862,0,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-84.414356,39.290319,20.1009589879605,6.44823684210526,0,54,91,0.00038764
"11","PP1048","M39061-0043",566.57288097581,1,-0.00544440578201724,0.227256802254219,0.456281910629276,0,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-84.414356,39.290319,20.1009589879605,15.2080543478261,0,0,91,0.00157861
