"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M55043-0009",1149.03819486272,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-90.698,42.693,13.6048111595189,142.732260869565,0,0,91,0.00021977
"2","PP1001","M55043-0009",411.757976877906,1,0.00511300316027859,0.10049614744509,0.315237380466307,0,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-90.698,42.693,13.6048111595189,232.484772727273,0,4,91,0.0003834575
"3","PP10075","M55043-0009",537.976690643272,1,0.00553839200751364,0.0755610968833863,0.297303062396757,0,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-90.698,42.693,13.6048111595189,15.3283,0,22,91,0.000232925
"4","PP1008","M55043-0009",641.433573251805,2,0.00429142989673185,0.588405931998083,0.777368455743912,0,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-90.698,42.693,13.6048111595189,177.649362068966,0,34,91,2.6335e-05
"5","PP1010","M55043-0009",445.99296262551,1,0.00225500103693696,0.473845341757532,0.686793738296587,0,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-90.698,42.693,13.6048111595189,193.883464788732,0,21,91,0.0003532125
"6","PP1012","M55043-0009",603.380341046972,1,0.0181802149629145,0.00183924053302018,0.0340157670012532,1,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-90.698,42.693,13.6048111595189,17.1713448275862,0,5,91,1.852e-05
"7","PP10343","M55043-0009",1201.54044678222,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-90.698,42.693,13.6048111595189,1.51985227272727,0,4,91,7.5e-09
"8","PP1040","M55043-0009",582.528048791365,1,0.00205990891407818,0.323852157248154,0.562746708864421,0,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-90.698,42.693,13.6048111595189,35.7298695652174,0,0,91,8.7625e-06
"9","PP1043","M55043-0009",546.769737867049,1,-0.00281755997417572,0.638053154230581,0.818976670852408,0,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-90.698,42.693,13.6048111595189,52.81425,0,40,91,0.000107275
"10","PP1046","M55043-0009",21.1031315665,0,0.00434331760497917,0.0884247281442206,0.306537957206935,0,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-90.698,42.693,13.6048111595189,6.44823684210526,0,54,91,0.01361543
"11","PP1048","M55043-0009",105.473572243627,0,0.000513333586180903,0.892702595288464,0.974707292590002,0,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-90.698,42.693,13.6048111595189,15.2080543478261,0,0,91,0.0035015925
"12","PP1058","M55043-0009",112.258168416893,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-90.698,42.693,13.6048111595189,3.2285,0,84,91,NA
"13","PP1073","M55043-0009",113.73637533595,0,0.00729179956464869,0.0609060402269054,0.26221542515972,0,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-90.698,42.693,13.6048111595189,13.1931463414634,0,10,91,0.0319651875
"14","PP1077","M55043-0009",192.185955181619,0,0.00896249191791759,0.120885029020093,0.35122330363182,0,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-90.698,42.693,13.6048111595189,8.76861038961039,0,15,91,0.020197795
"15","PP10773","M55043-0009",1154.99803627684,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-90.698,42.693,13.6048111595189,0.383228915662651,0,9,91,6.75e-08
"16","PP10774","M55043-0009",1351.08392277613,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-90.698,42.693,13.6048111595189,0.516945652173913,0,0,91,1.1e-07
"17","PP108","M55043-0009",1019.89711679788,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-90.698,42.693,13.6048111595189,4.60642391304348,0,0,91,0.001533085
"18","PP1081","M55043-0009",129.681370665365,0,-0.000294719314803314,0.977398579411542,0.98490129006997,0,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-90.698,42.693,13.6048111595189,8.83638202247191,0,3,91,0.0014525
"19","PP1091","M55043-0009",468.657360228463,1,-0.00111847208797961,0.509459854033501,0.71641488904761,0,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-90.698,42.693,13.6048111595189,69.104988372093,0,6,91,0.0488614725
"20","PP1104","M55043-0009",219.566808712917,0,-0.00791739102966967,0.331040969577366,0.570582102804333,0,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-90.698,42.693,13.6048111595189,15.6445384615385,0,1,91,0.0030641575
"21","PP1122","M55043-0009",250.864457316671,0,0.00615085764421276,0.00578218521147367,0.0713630379945981,0,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-90.698,42.693,13.6048111595189,4.60428888888889,0,2,91,0.0070097575
"22","PP113","M55043-0009",1901.55603923207,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-90.698,42.693,13.6048111595189,65.3253586956522,0,0,91,0.0037042825
"23","PP1131","M55043-0009",144.076945117357,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-90.698,42.693,13.6048111595189,5.26251315789474,0,16,91,0.010578215
"24","PP1167","M55043-0009",147.564525946765,0,0.00130339394851921,0.441402365523414,0.654830171954261,0,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-90.698,42.693,13.6048111595189,9.19611956521739,0,0,91,0.01516303
"25","PP1175","M55043-0009",233.136078392905,0,0.00805907086098509,0.0129695239830933,0.117073368810126,0,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-90.698,42.693,13.6048111595189,1.98909523809524,0,8,91,NA
"26","PP1217","M55043-0009",375.736630060115,1,0.0011068016841878,0.928827278799118,0.978617594128161,0,1000,"06-01","08-31",2005,13,5,-95.2569,43.1606,-90.698,42.693,13.6048111595189,6.16370930232558,0,6,91,0.00547364
"27","PP1218","M55043-0009",137.691736058473,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.8233,41.4569,-90.698,42.693,13.6048111595189,22.8831282051282,0,14,91,NA
"28","PP1239","M55043-0009",711.572674746943,2,-0.000977705830694547,0.667104808462634,0.839842496442933,0,1000,"06-01","08-31",2005,13,5,-94.6986,37.0719,-90.698,42.693,13.6048111595189,12.3639534883721,0,6,91,0.0013343525
"29","PP1241","M55043-0009",586.707408960824,1,-0.00629089031864225,0.0230661082807385,0.156373053321063,0,1000,"06-01","08-31",2005,13,5,-94.6389,38.3472,-90.698,42.693,13.6048111595189,86.4613409090909,0,4,91,0.0160740325
"30","PP1250","M55043-0009",562.071266571729,1,0.00714731039720122,0.0757967993295609,0.297420049543168,0,1000,"06-01","08-31",2005,13,5,-95.2692,39.0072,-90.698,42.693,13.6048111595189,11.8929885057471,0,5,91,0.0043707
"31","PP1252","M55043-0009",575.935103175117,1,0.000710178043128315,0.76793477564559,0.910425136315461,0,1000,"06-01","08-31",2005,13,5,-95.5669,39.0522,-90.698,42.693,13.6048111595189,14.3125652173913,0,0,91,0.0041593975
"32","PP126","M55043-0009",2127.96053580515,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.9047,32.16,-90.698,42.693,13.6048111595189,11.3513804347826,0,0,91,0.0003703875
"33","PP127","M55043-0009",1207.78809037454,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-99.1753,34.0825,-90.698,42.693,13.6048111595189,13.9272666666667,0,2,91,0.0018615975
"34","PP1295","M55043-0009",514.869760428169,1,0.00873216081048549,0.000648629537314316,0.0195129385808723,1,1000,"06-01","08-31",2005,13,5,-94.6405,39.1486,-90.698,42.693,13.6048111595189,19.2452386363636,0,4,91,0.0043294425
"35","PP1353","M55043-0009",849.227456672075,2,0.00212446326439444,0.3103634498032,0.551604985345454,0,1000,"06-01","08-31",2005,13,5,-82.6176,38.1707,-90.698,42.693,13.6048111595189,143.361094117647,0,7,91,4.015e-06
"36","PP1355","M55043-0009",745.135937098348,2,0.00900991355676209,0.0639136308711198,0.263601013486781,0,1000,"06-01","08-31",2005,13,5,-84.7139,37.7889,-90.698,42.693,13.6048111595189,162.904101265823,0,13,91,3.0125e-05
"37","PP1356","M55043-0009",648.311476158835,2,-0.00277327607765638,0.227692644308343,0.482094103198311,0,1000,"06-01","08-31",2005,13,5,-85.035,38.7497,-90.698,42.693,13.6048111595189,158.662011363636,0,4,91,5.19025e-05
"38","PP136","M55043-0009",1650.59223202897,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-81.6339,29.7333,-90.698,42.693,13.6048111595189,94.4782826086957,0,0,91,0.00010082
"39","PP1361","M55043-0009",715.803238554971,2,0.00419321209351245,0.707115431197199,0.869359817331501,0,1000,"06-01","08-31",2005,13,5,-84.8483,38.0478,-90.698,42.693,13.6048111595189,9.6974347826087,0,0,91,NA
"40","PP1363","M55043-0009",645.733210328665,2,-0.00556641635261702,0.113363279717435,0.336132599408576,0,1000,"06-01","08-31",2005,13,5,-85.8894,38.1828,-90.698,42.693,13.6048111595189,57.4235632183908,0,5,91,3.746e-05
"41","PP1364","M55043-0009",656.110305424914,2,-0.0064210132840913,0.134870106438171,0.381867517052391,0,1000,"06-01","08-31",2005,13,5,-85.91,38.0531,-90.698,42.693,13.6048111595189,69.6929661016949,0,33,91,4.18575e-05
"42","PP1372","M55043-0009",599.54292156619,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.5912,37.8453,-90.698,42.693,13.6048111595189,6.61208333333333,0,80,91,NA
"43","PP1374","M55043-0009",625.575373263488,2,-0.013619806422312,0.0685388555710719,0.276452814091139,0,1000,"06-01","08-31",2005,13,5,-87.0597,37.7958,-90.698,42.693,13.6048111595189,16.827358974359,0,14,91,4.729e-05
"44","PP1378","M55043-0009",681.557680897115,2,-0.00161003325750829,0.66594227530394,0.839110510941439,0,1000,"06-01","08-31",2005,13,5,-86.9783,37.2608,-90.698,42.693,13.6048111595189,299.692436619718,0,21,91,0.000198765
"45","PP1379","M55043-0009",636.806509601133,2,5.18243040373632e-05,0.965197247132091,0.980181791406538,0,1000,"06-01","08-31",2005,13,5,-88.775,37.1517,-90.698,42.693,13.6048111595189,108.766151898734,0,13,91,0.00043587
"46","PP1381","M55043-0009",621.190338748367,1,0.000842382453379148,0.749358652901833,0.8950156284452,0,1000,"06-01","08-31",2005,13,5,-86.7917,37.9628,-90.698,42.693,13.6048111595189,162.479735632184,0,5,91,0.0001941175
"47","PP1382","M55043-0009",622.76227559475,1,0.00418771597301237,0.530494233441777,0.726787166119474,0,1000,"06-01","08-31",2005,13,5,-87.5028,37.6472,-90.698,42.693,13.6048111595189,11.1061111111111,0,2,91,3.8855e-05
"48","PP1383","M55043-0009",622.794047297238,1,-0.0257977238124007,0.085832531617729,0.306537957206935,0,1000,"06-01","08-31",2005,13,5,-87.5033,37.6467,-90.698,42.693,13.6048111595189,32.8824651162791,0,6,91,7.7805e-05
"49","PP1384","M55043-0009",819.680347396187,2,0.000383987816011632,0.864052494437116,0.964213139078204,0,1000,"06-01","08-31",2005,13,5,-84.5917,37,-90.698,42.693,13.6048111595189,65.7681956521739,0,0,91,7.36e-06
"50","PP1393","M55043-0009",1396.0722820571,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.2917,30.2861,-90.698,42.693,13.6048111595189,42.2187826086957,0,0,91,0.00023003
"51","PP1552","M55043-0009",1260.50705347535,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.365,39.3269,-90.698,42.693,13.6048111595189,113.853950617284,0,11,91,3.4e-07
"52","PP1554","M55043-0009",1253.84248822169,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.5268,39.1781,-90.698,42.693,13.6048111595189,70.5514137931034,0,5,91,2.4e-07
"53","PP1570","M55043-0009",1132.65050181891,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-77.8269,39.595,-90.698,42.693,13.6048111595189,16.8623913043478,0,23,91,NA
"54","PP1571","M55043-0009",1270.0690644228,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.6861,38.5444,-90.698,42.693,13.6048111595189,169.991,0,0,91,8.8e-07
"55","PP1572","M55043-0009",1177.97906140086,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-77.4644,39.2086,-90.698,42.693,13.6048111595189,117.270988764045,0,3,91,6.6e-07
"56","PP1573","M55043-0009",1256.42745449972,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9767,38.3592,-90.698,42.693,13.6048111595189,282.396275862069,0,5,91,1.69e-06
"57","PP160","M55043-0009",2061.45693187169,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-109.8931,32.0619,-90.698,42.693,13.6048111595189,5.73258695652174,0,0,91,NA
"58","PP1606","M55043-0009",1485.36331285342,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-72.6053,42.2814,-90.698,42.693,13.6048111595189,11.3578555555556,0,2,91,4e-08
"59","PP1613","M55043-0009",1614.30660848011,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-71.146,41.737,-90.698,42.693,13.6048111595189,11.8615617977528,0,3,91,NA
"60","PP1619","M55043-0009",1611.08078047475,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-71.1914,41.7125,-90.698,42.693,13.6048111595189,87.0745487804878,0,10,91,1.6e-07
"61","PP1626","M55043-0009",1622.59519369745,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-70.8792,42.5267,-90.698,42.693,13.6048111595189,26.4023417721519,0,13,91,NA
"62","PP165","M55043-0009",822.695309663501,2,0.00020314864388462,0.87018996952104,0.966580243067986,0,1000,"06-01","08-31",2005,13,5,-95.2889,36.1906,-90.698,42.693,13.6048111595189,56.3204782608696,0,0,91,0.004704345
"63","PP1695","M55043-0009",368.786419310029,1,0.00247220524316283,0.305651675826111,0.549863415041536,0,1000,"06-01","08-31",2005,13,5,-86.2417,43.2542,-90.698,42.693,13.6048111595189,38.7812272727273,0,4,91,NA
"64","PP1702","M55043-0009",567.148833192979,1,0.00442952711077739,0.063620998170657,0.263601013486781,0,1000,"06-01","08-31",2005,13,5,-83.8431,43.6425,-90.698,42.693,13.6048111595189,43.8132247191011,0,3,91,NA
"65","PP1710","M55043-0009",368.401391651405,1,0.00270234011346376,0.269559126232046,0.523173356871183,0,1000,"06-01","08-31",2005,13,5,-86.2036,42.9103,-90.698,42.693,13.6048111595189,123.691392405063,0,13,91,0.000226175
"66","PP1720","M55043-0009",567.148833192979,1,-0.00127890211059017,0.542530124150427,0.741166981337007,0,1000,"06-01","08-31",2005,13,5,-83.8431,43.6425,-90.698,42.693,13.6048111595189,33.6371071428571,0,8,91,NA
"67","PP1723","M55043-0009",606.452110524971,1,-0.00364441261432479,0.140281068718426,0.390294792209775,0,1000,"06-01","08-31",2005,13,5,-83.4486,41.7917,-90.698,42.693,13.6048111595189,29.2719382716049,0,11,91,5.6125e-06
"68","PP1731","M55043-0009",666.120982349149,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-82.6436,43.8519,-90.698,42.693,13.6048111595189,6.24174074074074,0,11,91,2.0925e-06
"69","PP1733","M55043-0009",612.608818404896,1,0.00148028687165919,0.516272543452259,0.720287490574939,0,1000,"06-01","08-31",2005,13,5,-83.3461,41.8917,-90.698,42.693,13.6048111595189,362.374127906977,0,6,91,2.683e-05
"70","PP1740","M55043-0009",625.166085948365,2,0.00108375758125958,0.773394191564088,0.914644727779314,0,1000,"06-01","08-31",2005,13,5,-83.1131,42.2733,-90.698,42.693,13.6048111595189,43.4543928571429,0,8,91,2.825e-06
"71","PP1743","M55043-0009",673.487767924591,2,-0.00486788336777944,0.191297117882973,0.451812359152583,0,1000,"06-01","08-31",2005,13,5,-82.4719,42.7642,-90.698,42.693,13.6048111595189,130.560636363636,0,4,91,1.364e-05
"72","PP1745","M55043-0009",621.797568980348,1,0.0102672004000253,0.00227962415488715,0.0406392256747783,1,1000,"06-01","08-31",2005,13,5,-83.1811,42.1236,-90.698,42.693,13.6048111595189,84.8835930232558,0,6,91,2.87e-06
"73","PP1769","M55043-0009",505.016088657076,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.395,46.5789,-90.698,42.693,13.6048111595189,60.9688,0,87,91,0.00017005
"74","PP1825","M55043-0009",367.054622646214,1,0.0182541985962826,0.00993023937536684,0.0937206905753576,0,1000,"06-01","08-31",2005,13,5,-86.2342,43.0722,-90.698,42.693,13.6048111595189,3.03230434782609,0,0,91,5.3375e-06
"75","PP1830","M55043-0009",375.513639335584,1,0.00897510134873705,0.00666552676782924,0.077621134296334,0,1000,"06-01","08-31",2005,13,5,-86.1133,42.7956,-90.698,42.693,13.6048111595189,2.62830434782609,0,0,91,2.39e-06
"76","PP1831","M55043-0009",502.892217729075,1,7.60178086588843e-05,0.975709595649905,0.983910512951444,0,1000,"06-01","08-31",2005,13,5,-84.5586,42.7183,-90.698,42.693,13.6048111595189,20.787037037037,0,38,91,NA
"77","PP1832","M55043-0009",494.916316138265,1,0.00534905421779023,0.223570045950859,0.475102835917738,0,1000,"06-01","08-31",2005,13,5,-84.6572,42.6919,-90.698,42.693,13.6048111595189,8.01624096385542,0,9,91,1.18e-06
"78","PP1843","M55043-0009",500.70413166121,1,0.00494796750749133,0.284611651635127,0.537930922723984,0,1000,"06-01","08-31",2005,13,5,-87.3917,46.5314,-90.698,42.693,13.6048111595189,0.75495652173913,0,0,91,3.5825e-06
"79","PP1866","M55043-0009",623.432472587791,1,0.00285029395075419,0.135191317101256,0.382027909773412,0,1000,"06-01","08-31",2005,13,5,-83.1453,42.2081,-90.698,42.693,13.6048111595189,5.07834444444444,0,2,91,4.225e-07
"80","PP1891","M55043-0009",549.801110896151,1,0.00873635698090704,0.00186097340242313,0.0340157670012532,1,1000,"06-01","08-31",2005,13,5,-92.1619,47.5306,-90.698,42.693,13.6048111595189,5.47512359550562,0,3,91,0.00013964
"81","PP1893","M55043-0009",558.429811635978,1,0.00192723120407316,0.462500258875133,0.677333036324232,0,1000,"06-01","08-31",2005,13,5,-93.6531,47.2603,-90.698,42.693,13.6048111595189,53.6440449438202,0,3,91,0.002194435
"82","PP1904","M55043-0009",312.403216602458,1,0.00998809963659018,0.00375142779046117,0.058247975585225,0,1000,"06-01","08-31",2005,13,5,-93.2501,44.8108,-90.698,42.693,13.6048111595189,9.50389655172414,0,5,91,0.0060386
"83","PP1912","M55043-0009",315.454072629397,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.1075,44.9331,-90.698,42.693,13.6048111595189,11.5196,0,87,91,NA
"84","PP1915","M55043-0009",308.848266427182,0,0.00861413367995555,0.469062802513839,0.683477988728541,0,1000,"06-01","08-31",2005,13,5,-92.7786,45.03,-90.698,42.693,13.6048111595189,87.5867441860465,0,6,91,0.0113700975
"85","PP1927","M55043-0009",331.328162185112,1,0.0108107226762065,0.153298975770313,0.404686875708102,0,1000,"06-01","08-31",2005,13,5,-93.2753,45.0203,-90.698,42.693,13.6048111595189,34.781,0,19,91,NA
"86","PP1943","M55043-0009",583.272347625403,1,0.00618161890215872,0.0415073812736733,0.221166204847778,0,1000,"06-01","08-31",2005,13,5,-96.0428,46.29,-90.698,42.693,13.6048111595189,8.94285869565217,0,0,91,0.001118835
"87","PP1961","M55043-0009",215.466423955564,0,0.0124109757709942,0.0852054135315068,0.306537957206935,0,1000,"06-01","08-31",2005,13,5,-92.9626,43.7014,-90.698,42.693,13.6048111595189,7.28446153846154,0,1,91,0.0058614725
"88","PP2008","M55043-0009",205.89265799153,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4597,44.0281,-90.698,42.693,13.6048111595189,6.58164935064935,0,15,91,0.0027916675
"89","PP2049","M55043-0009",1367.77168896279,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-89.0265,30.4408,-90.698,42.693,13.6048111595189,91.5719222222222,0,2,91,0.00015058
"90","PP207","M55043-0009",1585.80029482248,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-81.5508,30.4311,-90.698,42.693,13.6048111595189,64.6104130434783,0,0,91,0.00013798
"91","PP2076","M55043-0009",678.882517334198,2,0.000615875577637685,0.545549902501933,0.743884852892154,0,1000,"06-01","08-31",2005,13,5,-94.5913,37.3596,-90.698,42.693,13.6048111595189,38.188402173913,0,0,91,0.005186835
"92","PP2079","M55043-0009",507.731786619999,1,-0.00586922971402595,0.696479785527231,0.862578155099819,0,1000,"06-01","08-31",2005,13,5,-94.4778,39.1306,-90.698,42.693,13.6048111595189,7.04923333333333,0,2,91,0.0015953525
"93","PP2080","M55043-0009",558.457459721624,1,0.00449764409572649,0.446440831129768,0.660512869007567,0,1000,"06-01","08-31",2005,13,5,-93.9331,38.3108,-90.698,42.693,13.6048111595189,40.352875,0,36,91,0.0045867725
"94","PP2094","M55043-0009",488.453491898595,1,0.00626377753782081,0.0388327162370646,0.212403190326975,0,1000,"06-01","08-31",2005,13,5,-94.1861,39.1778,-90.698,42.693,13.6048111595189,35.5626666666667,0,5,91,0.00924811
"95","PP2098","M55043-0009",481.066968858858,1,0.00558897798826335,0.366074025429684,0.595282536847369,0,1000,"06-01","08-31",2005,13,5,-94.8773,39.7246,-90.698,42.693,13.6048111595189,9.27487640449438,0,3,91,0.00359411
"96","PP2103","M55043-0009",459.297757712812,1,0.000369685890157479,0.895164757270212,0.974707292590002,0,1000,"06-01","08-31",2005,13,5,-90.8361,38.5583,-90.698,42.693,13.6048111595189,161.545647727273,0,4,91,0.00397701
"97","PP2104","M55043-0009",477.51812625791,1,-0.00373740009864539,0.281607662768663,0.534351465227266,0,1000,"06-01","08-31",2005,13,5,-90.3358,38.4017,-90.698,42.693,13.6048111595189,55.2587906976744,0,6,91,0.00068996
"98","PP2107","M55043-0009",420.859873665742,1,0.00481956284739547,0.230277005642018,0.484164000848087,0,1000,"06-01","08-31",2005,13,5,-90.2917,38.9158,-90.698,42.693,13.6048111595189,159.951093023256,0,6,91,0.0035902325
"99","PP2123","M55043-0009",435.846985354114,1,-0.000503371975729057,0.894724527057716,0.974707292590002,0,1000,"06-01","08-31",2005,13,5,-92.3175,38.9658,-90.698,42.693,13.6048111595189,6.25521052631579,0,54,91,0.0003205825
"100","PP2132","M55043-0009",503.285744461614,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.3261,39.0919,-90.698,42.693,13.6048111595189,19.9732555555556,0,2,91,0.00259489
"101","PP2161","M55043-0009",657.512375743595,2,0.00643867722283765,0.00516303254593288,0.0686814637513045,0,1000,"06-01","08-31",2005,13,5,-93.2592,37.1086,-90.698,42.693,13.6048111595189,12.4059239130435,0,0,91,0.0006627625
"102","PP2167","M55043-0009",692.852552362654,2,-0.00141949766600486,0.810511334277874,0.937965143114878,0,1000,"06-01","08-31",2005,13,5,-89.5617,36.5147,-90.698,42.693,13.6048111595189,45.9662,0,47,91,0.00040473
"103","PP2168","M55043-0009",384.902438615303,1,-0.00320023941214436,0.441480547134681,0.654830171954261,0,1000,"06-01","08-31",2005,13,5,-92.6392,39.5531,-90.698,42.693,13.6048111595189,52.5359807692308,0,40,91,0.0112287625
"104","PP2169","M55043-0009",453.929304663735,1,0.000437887395789272,0.911094235132286,0.978617594128161,0,1000,"06-01","08-31",2005,13,5,-91.7556,38.6853,-90.698,42.693,13.6048111595189,3.48841573033708,0,3,91,NA
"105","PP2187","M55043-0009",1457.9710456451,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-108.4803,45.7747,-90.698,42.693,13.6048111595189,8.73298780487805,0,10,91,0.00101021
"106","PP2240","M55043-0009",497.250033530301,1,0.00401673704813776,0.318618250451511,0.556839296026028,0,1000,"06-01","08-31",2005,13,5,-96.4619,41.4275,-90.698,42.693,13.6048111595189,4.39291304347826,0,0,91,0.00191096
