"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M40109-1037",954.277253382681,3,2.171734727964e-05,0.994056464457493,0.998519119741253,0,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-97.475083,35.614131,13.8168287641903,142.732260869565,0,0,91,0.000939822
"2","PP1001","M40109-1037",1005.37009447088,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-97.475083,35.614131,13.8168287641903,232.484772727273,0,4,91,1.764e-05
"3","PP10075","M40109-1037",1431.03239041864,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-97.475083,35.614131,13.8168287641903,15.3283,0,22,91,3.64e-06
"4","PP1008","M40109-1037",1076.68665080217,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-97.475083,35.614131,13.8168287641903,177.649362068966,0,34,91,2.606e-06
"5","PP1010","M40109-1037",987.710445755953,3,0.0111656271479272,0.0277491109889503,0.143557539509309,0,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-97.475083,35.614131,13.8168287641903,193.883464788732,0,21,91,2.444e-05
"6","PP1012","M40109-1037",940.703076638194,3,0.00590762033156701,0.484707172568913,0.742830341522564,0,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-97.475083,35.614131,13.8168287641903,17.1713448275862,0,5,91,1.352e-06
"7","PP10343","M40109-1037",1923.6933355622,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-97.475083,35.614131,13.8168287641903,1.51985227272727,0,4,91,0
"8","PP1040","M40109-1037",1201.34754262757,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-97.475083,35.614131,13.8168287641903,35.7298695652174,0,0,91,1.49e-06
"9","PP1043","M40109-1037",962.826435162534,3,-0.0320610958781473,7.38609029048505e-05,0.00367252822776896,0,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-97.475083,35.614131,13.8168287641903,52.81425,0,40,91,3.734e-06
"10","PP1046","M40109-1037",965.75200893182,3,-0.00663385330293411,0.0966436248424668,0.347665945361909,0,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-97.475083,35.614131,13.8168287641903,6.44823684210526,0,54,91,1.68e-06
"11","PP1048","M40109-1037",931.696405144133,2,-0.00128303970269121,0.815668789920018,0.954279172520805,0,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-97.475083,35.614131,13.8168287641903,15.2080543478261,0,0,91,3.19e-06
"12","PP1058","M40109-1037",868.102263035039,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-97.475083,35.614131,13.8168287641903,3.2285,0,84,91,NA
"13","PP1073","M40109-1037",866.093387580309,2,0.0064053117595407,0.239217579530655,0.503764079246909,0,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-97.475083,35.614131,13.8168287641903,13.1931463414634,0,10,91,1.176e-05
"14","PP1077","M40109-1037",818.469096324459,2,0.0110854155749721,0.191211939028968,0.44832672718515,0,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-97.475083,35.614131,13.8168287641903,8.76861038961039,0,15,91,9.136e-06
"15","PP10773","M40109-1037",1639.54563704689,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-97.475083,35.614131,13.8168287641903,0.383228915662651,0,9,91,2.2e-07
"16","PP10774","M40109-1037",1843.51896483498,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-97.475083,35.614131,13.8168287641903,0.516945652173913,0,0,91,2.8e-07
"17","PP108","M40109-1037",404.386830295393,1,-0.0385813274601169,0.00919204218298578,0.0865987131976029,0,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-97.475083,35.614131,13.8168287641903,4.60642391304348,0,0,91,0.002206184
"18","PP1081","M40109-1037",898.082551704894,2,0.00878078587132019,0.534310430465213,0.772190563681652,0,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-97.475083,35.614131,13.8168287641903,8.83638202247191,0,3,91,6.18e-07
"19","PP1091","M40109-1037",751.028997552874,2,-0.00027933219925959,0.905937427198448,0.969977931019268,0,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-97.475083,35.614131,13.8168287641903,69.104988372093,0,6,91,0.000278846
"20","PP1104","M40109-1037",795.955061949037,2,-0.0268899353847626,0.0177889527319487,0.111247177308543,0,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-97.475083,35.614131,13.8168287641903,15.6445384615385,0,1,91,5.084e-06
"21","PP1122","M40109-1037",786.730910790281,2,0.00771155825431668,0.017213543914927,0.111158250000231,0,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-97.475083,35.614131,13.8168287641903,4.60428888888889,0,2,91,6.994e-06
"22","PP113","M40109-1037",1168.67508384531,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-97.475083,35.614131,13.8168287641903,65.3253586956522,0,0,91,0.01588794
"23","PP1131","M40109-1037",882.104716941259,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-97.475083,35.614131,13.8168287641903,5.26251315789474,0,16,91,1.776e-06
"24","PP1167","M40109-1037",850.803250248661,2,0.00251094480247097,0.327343074390482,0.607825833152451,0,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-97.475083,35.614131,13.8168287641903,9.19611956521739,0,0,91,5.816e-06
"25","PP1175","M40109-1037",755.029982606164,2,0.00584545533636703,0.231953857713742,0.495188442736872,0,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-97.475083,35.614131,13.8168287641903,1.98909523809524,0,8,91,NA
"26","PP1217","M40109-1037",859.263827372881,2,-0.013757121547129,0.417785502083916,0.698912195074963,0,1000,"06-01","08-31",2005,13,5,-95.2569,43.1606,-97.475083,35.614131,13.8168287641903,6.16370930232558,0,6,91,1.2862e-05
"27","PP1218","M40109-1037",869.504684345635,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.8233,41.4569,-97.475083,35.614131,13.8168287641903,22.8831282051282,0,14,91,NA
"28","PP1239","M40109-1037",297.118057378424,0,0.00218251124928475,0.532299057549774,0.772135585910937,0,1000,"06-01","08-31",2005,13,5,-94.6986,37.0719,-97.475083,35.614131,13.8168287641903,12.3639534883721,0,6,91,0.000607784
"29","PP1241","M40109-1037",394.619514220689,1,-0.00987105920656518,0.0128317930109606,0.0970775905465489,0,1000,"06-01","08-31",2005,13,5,-94.6389,38.3472,-97.475083,35.614131,13.8168287641903,86.4613409090909,0,4,91,0.000994716
"30","PP1250","M40109-1037",424.283991595414,1,0.0076213605497654,0.199883508026036,0.455205444486774,0,1000,"06-01","08-31",2005,13,5,-95.2692,39.0072,-97.475083,35.614131,13.8168287641903,11.8929885057471,0,5,91,0.000179452
"31","PP1252","M40109-1037",417.337529029045,1,0.00352971585541616,0.287704428083908,0.554074843463848,0,1000,"06-01","08-31",2005,13,5,-95.5669,39.0522,-97.475083,35.614131,13.8168287641903,14.3125652173913,0,0,91,0.000127764
"32","PP126","M40109-1037",1298.79706688455,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.9047,32.16,-97.475083,35.614131,13.8168287641903,11.3513804347826,0,0,91,0.002222776
"33","PP127","M40109-1037",230.317812117751,0,0.00855159837353476,0.70719876828589,0.915981038517903,0,1000,"06-01","08-31",2005,13,5,-99.1753,34.0825,-97.475083,35.614131,13.8168287641903,13.9272666666667,0,2,91,0.023573364
