"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M48439-1002",897.81569222021,2,0.00140106869277873,0.616976200270842,0.833570462408241,0,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-97.356568,32.805818,15.2636354438854,142.732260869565,0,0,91,0.00186914
"2","PP1001","M48439-1002",1189.37394282588,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-97.356568,32.805818,15.2636354438854,232.484772727273,0,4,91,2.032e-05
"3","PP10075","M48439-1002",1723.28851466162,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-97.356568,32.805818,15.2636354438854,15.3283,0,22,91,2.06e-06
"4","PP1008","M48439-1002",1206.05415282879,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-97.356568,32.805818,15.2636354438854,177.649362068966,0,34,91,4.43e-06
"5","PP1010","M48439-1002",1162.81269686179,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-97.356568,32.805818,15.2636354438854,193.883464788732,0,21,91,2.645e-05
"6","PP1012","M48439-1002",1072.20252510102,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-97.356568,32.805818,15.2636354438854,17.1713448275862,0,5,91,1.92e-06
"7","PP10343","M48439-1002",2058.85649622345,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-97.356568,32.805818,15.2636354438854,1.51985227272727,0,4,91,1e-08
"8","PP1040","M48439-1002",1360.02387225273,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-97.356568,32.805818,15.2636354438854,35.7298695652174,0,0,91,1.68e-06
"9","PP1043","M48439-1002",1110.95381047129,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-97.356568,32.805818,15.2636354438854,52.81425,0,40,91,4.76e-06
"10","PP1046","M48439-1002",1227.43700465425,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-97.356568,32.805818,15.2636354438854,6.44823684210526,0,54,91,1.29e-06
"11","PP1048","M48439-1002",1180.86432884361,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-97.356568,32.805818,15.2636354438854,15.2080543478261,0,0,91,2.39e-06
"12","PP1058","M48439-1002",1135.6658908637,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-97.356568,32.805818,15.2636354438854,3.2285,0,84,91,NA
"13","PP1073","M48439-1002",1132.92573269523,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-97.356568,32.805818,15.2636354438854,13.1931463414634,0,10,91,6.36e-06
"14","PP1077","M48439-1002",1099.65597017853,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-97.356568,32.805818,15.2636354438854,8.76861038961039,0,15,91,5.59e-06
"15","PP10773","M48439-1002",1716.40867154059,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-97.356568,32.805818,15.2636354438854,0.383228915662651,0,9,91,3.3e-07
"16","PP10774","M48439-1002",1909.08184783835,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-97.356568,32.805818,15.2636354438854,0.516945652173913,0,0,91,3.9e-07
"17","PP108","M48439-1002",656.565295143804,2,-0.028453693068031,0.0387562797016659,0.163330035885592,0,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-97.356568,32.805818,15.2636354438854,4.60642391304348,0,0,91,0.00026945
"18","PP1081","M48439-1002",1146.27662888971,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-97.356568,32.805818,15.2636354438854,8.83638202247191,0,3,91,6.3e-07
"19","PP1091","M48439-1002",1060.04035664284,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-97.356568,32.805818,15.2636354438854,69.104988372093,0,6,91,8.991e-05
"20","PP1104","M48439-1002",1041.33134385181,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-97.356568,32.805818,15.2636354438854,15.6445384615385,0,1,91,3.86e-06
"21","PP1122","M48439-1002",1075.36070594484,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-97.356568,32.805818,15.2636354438854,4.60428888888889,0,2,91,2.56e-06
"22","PP113","M48439-1002",1220.07828483924,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-97.356568,32.805818,15.2636354438854,65.3253586956522,0,0,91,0.00598852
"23","PP1131","M48439-1002",1162.33109657825,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-97.356568,32.805818,15.2636354438854,5.26251315789474,0,16,91,1.16e-06
"24","PP1167","M48439-1002",1104.47426966112,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-97.356568,32.805818,15.2636354438854,9.19611956521739,0,0,91,4.24e-06
"25","PP1175","M48439-1002",1031.70552592302,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-97.356568,32.805818,15.2636354438854,1.98909523809524,0,8,91,NA
"26","PP1217","M48439-1002",1163.9528161597,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.2569,43.1606,-97.356568,32.805818,15.2636354438854,6.16370930232558,0,6,91,4.97e-06
"27","PP1218","M48439-1002",1121.13804144191,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.8233,41.4569,-97.356568,32.805818,15.2636354438854,22.8831282051282,0,14,91,NA
"28","PP1239","M48439-1002",531.869877240312,1,0.00160166322672696,0.632119254264887,0.833570462408241,0,1000,"06-01","08-31",2005,13,5,-94.6986,37.0719,-97.356568,32.805818,15.2636354438854,12.3639534883721,0,6,91,0.00017559
"29","PP1241","M48439-1002",662.24799706204,2,-0.00657938152461946,0.0836019297707419,0.247865017913255,0,1000,"06-01","08-31",2005,13,5,-94.6389,38.3472,-97.356568,32.805818,15.2636354438854,86.4613409090909,0,4,91,0.00033628
"30","PP1250","M48439-1002",713.364746004587,2,-0.00473410452151282,0.41768504035389,0.664400907775186,0,1000,"06-01","08-31",2005,13,5,-95.2692,39.0072,-97.356568,32.805818,15.2636354438854,11.8929885057471,0,5,91,3.75e-05
"31","PP1252","M48439-1002",711.612876156854,2,-0.00118869960482754,0.712603057792895,0.881372853445944,0,1000,"06-01","08-31",2005,13,5,-95.5669,39.0522,-97.356568,32.805818,15.2636354438854,14.3125652173913,0,0,91,4.085e-05
"32","PP126","M48439-1002",1274.59032417539,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.9047,32.16,-97.356568,32.805818,15.2636354438854,11.3513804347826,0,0,91,0.00115455
"33","PP127","M48439-1002",220.556443346579,0,-0.000733747785993449,0.974086603446091,0.988723003248716,0,1000,"06-01","08-31",2005,13,5,-99.1753,34.0825,-97.356568,32.805818,15.2636354438854,13.9272666666667,0,2,91,0.00584227
"34","PP1295","M48439-1002",745.096219913603,2,0.0135827635619378,0.000275518788289784,0.00464445957402779,1,1000,"06-01","08-31",2005,13,5,-94.6405,39.1486,-97.356568,32.805818,15.2636354438854,19.2452386363636,0,4,91,2.361e-05
"35","PP1353","M48439-1002",1461.65526878599,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-82.6176,38.1707,-97.356568,32.805818,15.2636354438854,143.361094117647,0,7,91,8.72e-06
"36","PP1355","M48439-1002",1274.40642795093,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.7139,37.7889,-97.356568,32.805818,15.2636354438854,162.904101265823,0,13,91,1.204e-05
"37","PP1356","M48439-1002",1292.90342695547,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.035,38.7497,-97.356568,32.805818,15.2636354438854,158.662011363636,0,4,91,1.638e-05
"38","PP136","M48439-1002",1533.99470390008,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-81.6339,29.7333,-97.356568,32.805818,15.2636354438854,94.4782826086957,0,0,91,0.00059859
"39","PP1361","M48439-1002",1274.56296031189,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8483,38.0478,-97.356568,32.805818,15.2636354438854,9.6974347826087,0,0,91,NA
"40","PP1363","M48439-1002",1198.02971911047,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8894,38.1828,-97.356568,32.805818,15.2636354438854,57.4235632183908,0,5,91,6.36e-06
