"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M51069-0010",1145.58320432904,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-78.08157,39.28102,NA,142.732260869565,92,0,91,0.00135931
"2","PP1001","M51069-0010",805.461502314426,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-78.08157,39.28102,NA,232.484772727273,92,4,91,0.04872373
"3","PP10075","M51069-0010",1382.44196956163,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-78.08157,39.28102,NA,15.3283,92,22,91,7.469e-05
"4","PP1008","M51069-0010",683.24011948193,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-78.08157,39.28102,NA,177.649362068966,92,34,91,0.02244342
"5","PP1010","M51069-0010",804.834326602851,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-78.08157,39.28102,NA,193.883464788732,92,21,91,0.03962203
"6","PP1012","M51069-0010",819.275701590619,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-78.08157,39.28102,NA,17.1713448275862,92,5,91,0.00110261
"7","PP10343","M51069-0010",219.275894318472,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-78.08157,39.28102,NA,1.51985227272727,92,4,91,2.9312e-05
"8","PP1040","M51069-0010",588.432225181069,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-78.08157,39.28102,NA,35.7298695652174,92,0,91,0.012831294
"9","PP1043","M51069-0010",800.856840481028,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-78.08157,39.28102,NA,52.81425,92,40,91,0.00864439
"10","PP1046","M51069-0010",1116.97826895955,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-78.08157,39.28102,NA,6.44823684210526,92,54,91,0.00049649
"11","PP1048","M51069-0010",1066.00835814992,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-78.08157,39.28102,NA,15.2080543478261,92,0,91,0.00137453
"12","PP1058","M51069-0010",1186.57348075309,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-78.08157,39.28102,NA,3.2285,92,84,91,NA
"13","PP1073","M51069-0010",1183.34968698135,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-78.08157,39.28102,NA,13.1931463414634,92,10,91,0.00145293
"14","PP1077","M51069-0010",1285.28285988044,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-78.08157,39.28102,NA,8.76861038961039,92,15,91,0.00057489
"15","PP10773","M51069-0010",261.746261926367,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-78.08157,39.28102,NA,0.383228915662651,92,9,91,5.3528e-05
"16","PP10774","M51069-0010",306.967217221492,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-78.08157,39.28102,NA,0.516945652173913,92,0,91,5.956e-06
"17","PP108","M51069-0010",1994.21143873297,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-78.08157,39.28102,NA,4.60642391304348,92,0,91,0.00030741
"18","PP1081","M51069-0010",1078.20882513731,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-78.08157,39.28102,NA,8.83638202247191,92,3,91,0.000791
"19","PP1091","M51069-0010",1577.33206720951,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-78.08157,39.28102,NA,69.104988372093,92,6,91,0.00311002
"20","PP1104","M51069-0010",1123.61735996527,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-78.08157,39.28102,NA,15.6445384615385,92,1,91,0.00147351
"21","PP1122","M51069-0010",1345.87907210913,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-78.08157,39.28102,NA,4.60428888888889,92,2,91,0.00025767
"22","PP113","M51069-0010",2888.55642465216,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-78.08157,39.28102,NA,65.3253586956522,92,0,91,0.00108687
"23","PP1131","M51069-0010",1260.49541598547,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-78.08157,39.28102,NA,5.26251315789474,92,16,91,0.00019198
"24","PP1167","M51069-0010",1126.03088651334,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-78.08157,39.28102,NA,9.19611956521739,92,0,91,0.00113201
"25","PP1175","M51069-0010",1280.39401502119,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-78.08157,39.28102,NA,1.98909523809524,92,8,91,NA
