"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M47145-3013",475.675704692434,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-84.51657,35.9255,NA,142.732260869565,92,0,91,0.0126413533333333
"2","PP1001","M47145-3013",512.223232932735,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-84.51657,35.9255,NA,232.484772727273,92,4,91,0.00485063
"3","PP10075","M47145-3013",1393.31248361843,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-84.51657,35.9255,NA,15.3283,92,22,91,7.27666666666667e-06
"4","PP1008","M47145-3013",284.83119282634,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-84.51657,35.9255,NA,177.649362068966,92,34,91,0.00644037333333333
"5","PP1010","M47145-3013",475.095950355718,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-84.51657,35.9255,NA,193.883464788732,92,21,91,0.00673229666666667
"6","PP1012","M47145-3013",333.441087820942,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-84.51657,35.9255,NA,17.1713448275862,92,5,91,0.00106359333333333
"7","PP10343","M47145-3013",888.360804498418,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-84.51657,35.9255,NA,1.51985227272727,92,4,91,3e-07
"8","PP1040","M47145-3013",431.647784946824,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-84.51657,35.9255,NA,35.7298695652174,92,0,91,0.000240846666666667
"9","PP1043","M47145-3013",377.409830048261,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-84.51657,35.9255,NA,52.81425,92,40,91,0.00367784
"10","PP1046","M47145-3013",901.957467910839,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-84.51657,35.9255,NA,6.44823684210526,92,54,91,4.604e-05
"11","PP1048","M47145-3013",819.767842433279,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-84.51657,35.9255,NA,15.2080543478261,92,0,91,0.000142316666666667
"12","PP1058","M47145-3013",914.021522504926,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-84.51657,35.9255,NA,3.2285,92,84,91,NA
"13","PP1073","M47145-3013",909.121485058758,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-84.51657,35.9255,NA,13.1931463414634,92,10,91,0.000221053333333333
"14","PP1077","M47145-3013",991.434699545878,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-84.51657,35.9255,NA,8.76861038961039,92,15,91,0.000130046666666667
"15","PP10773","M47145-3013",487.897853967327,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-84.51657,35.9255,NA,0.383228915662651,92,9,91,1.97666666666667e-06
"16","PP10774","M47145-3013",680.280579304197,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-84.51657,35.9255,NA,0.516945652173913,92,0,91,2.44333333333333e-06
"17","PP108","M47145-3013",1480.93111864794,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-84.51657,35.9255,NA,4.60642391304348,92,0,91,0.000309003333333333
"18","PP1081","M47145-3013",808.594210928252,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-84.51657,35.9255,NA,8.83638202247191,92,3,91,8.16266666666667e-05
"19","PP1091","M47145-3013",1245.93656860856,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-84.51657,35.9255,NA,69.104988372093,92,6,91,0.00123143
"20","PP1104","M47145-3013",786.173379442196,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-84.51657,35.9255,NA,15.6445384615385,92,1,91,0.000311563333333333
"21","PP1122","M47145-3013",1037.66533365108,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-93.6069,42.0247,-84.51657,35.9255,NA,4.60428888888889,92,2,91,6.90433333333333e-05
"22","PP113","M47145-3013",2337.33301792506,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.3033,34.9394,-84.51657,35.9255,NA,65.3253586956522,92,0,91,0.001577
"23","PP1131","M47145-3013",1001.64129041483,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.4394,42.5267,-84.51657,35.9255,NA,5.26251315789474,92,16,91,3.57133333333333e-05
"24","PP1167","M47145-3013",831.521689314324,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.0569,41.3917,-84.51657,35.9255,NA,9.19611956521739,92,0,91,0.000211673333333333
"25","PP1175","M47145-3013",949.609357211748,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.9144,41.3981,-84.51657,35.9255,NA,1.98909523809524,92,8,91,NA
"26","PP1217","M47145-3013",1221.9567368822,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.2569,43.1606,-84.51657,35.9255,NA,6.16370930232558,92,6,91,8.23366666666667e-05
"27","PP1218","M47145-3013",822.989456318116,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.8233,41.4569,-84.51657,35.9255,NA,22.8831282051282,92,14,91,NA
"28","PP1239","M47145-3013",920.600571556018,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.6986,37.0719,-84.51657,35.9255,NA,12.3639534883721,92,6,91,0.00136541
"29","PP1241","M47145-3013",938.107521375577,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.6389,38.3472,-84.51657,35.9255,NA,86.4613409090909,92,4,91,0.00653400666666667
"30","PP1250","M47145-3013",1010.06819220693,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.2692,39.0072,-84.51657,35.9255,NA,11.8929885057471,92,5,91,0.000637203333333333
"31","PP1252","M47145-3013",1036.21285121176,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-95.5669,39.0522,-84.51657,35.9255,NA,14.3125652173913,92,0,91,0.000720346666666667
"32","PP126","M47145-3013",2464.40452093246,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-110.9047,32.16,-84.51657,35.9255,NA,11.3513804347826,92,0,91,0.000215653333333333
"33","PP127","M47145-3013",1352.30117146086,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-99.1753,34.0825,-84.51657,35.9255,NA,13.9272666666667,92,2,91,0.00082315
"34","PP1295","M47145-3013",962.922981201055,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-94.6405,39.1486,-84.51657,35.9255,NA,19.2452386363636,92,4,91,0.000883453333333333
"35","PP1353","M47145-3013",301.015547442337,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-82.6176,38.1707,-84.51657,35.9255,NA,143.361094117647,92,7,91,0.000788546666666667
"36","PP1355","M47145-3013",207.539708818961,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.7139,37.7889,-84.51657,35.9255,NA,162.904101265823,92,13,91,0.01170761
"37","PP1356","M47145-3013",316.790768863444,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.035,38.7497,-84.51657,35.9255,NA,158.662011363636,92,4,91,0.00395644
"38","PP136","M47145-3013",737.757602830001,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-81.6339,29.7333,-84.51657,35.9255,NA,94.4782826086957,92,0,91,0.00128462666666667
"39","PP1361","M47145-3013",237.373083329814,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8483,38.0478,-84.51657,35.9255,NA,9.6974347826087,92,0,91,NA
"40","PP1363","M47145-3013",278.680519240268,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8894,38.1828,-84.51657,35.9255,NA,57.4235632183908,92,5,91,0.00728326333333333
"41","PP1364","M47145-3013",266.710298141857,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.91,38.0531,-84.51657,35.9255,NA,69.6929661016949,92,33,91,0.01261124
"42","PP1372","M47145-3013",347.116310223544,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.5912,37.8453,-84.51657,35.9255,NA,6.61208333333333,92,80,91,NA
"43","PP1374","M47145-3013",307.399052424919,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.0597,37.7958,-84.51657,35.9255,NA,16.827358974359,92,14,91,0.00561486333333333
"44","PP1378","M47145-3013",265.468834437483,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-86.9783,37.2608,-84.51657,35.9255,NA,299.692436619718,92,21,91,0.110357823333333
