"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M55009-0028",1311.5556701742,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-87.988333,44.415556,NA,142.732260869565,92,0,91,6.65e-05
"2","PP1001","M55009-0028",501.068879565496,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-87.988333,44.415556,NA,232.484772727273,92,4,91,0.000733499285714286
"3","PP10075","M55009-0028",413.757611838341,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-87.988333,44.415556,NA,15.3283,92,22,91,0.00357983785714286
"4","PP1008","M55009-0028",706.478838082612,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-87.988333,44.415556,NA,177.649362068966,92,34,91,4.696e-05
"5","PP1010","M55009-0028",544.660765480156,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-87.988333,44.415556,NA,193.883464788732,92,21,91,0.000465301428571429
"6","PP1012","M55009-0028",724.61899990681,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-87.988333,44.415556,NA,17.1713448275862,92,5,91,1.595e-05
"7","PP10343","M55009-0028",1026.52947568447,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-87.988333,44.415556,NA,1.51985227272727,92,4,91,1e-08
"8","PP1040","M55009-0028",572.570053617881,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-87.988333,44.415556,NA,35.7298695652174,92,0,91,3.282e-05
"9","PP1043","M55009-0028",657.538577217575,2,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-87.988333,44.415556,NA,52.81425,92,40,91,0.00012068
"10","PP1046","M55009-0028",302.463712445316,0,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-87.988333,44.415556,NA,6.44823684210526,92,54,91,0.00149980142857143
"11","PP1048","M55009-0028",342.511181835109,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-87.988333,44.415556,NA,15.2080543478261,92,0,91,0.00115179
"12","PP1058","M55009-0028",402.975988948386,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-87.988333,44.415556,NA,3.2285,92,84,91,NA
"13","PP1073","M55009-0028",404.245428308778,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-87.988333,44.415556,NA,13.1931463414634,92,10,91,0.00268861642857143
"14","PP1077","M55009-0028",475.283533495119,1,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-87.988333,44.415556,NA,8.76861038961039,92,15,91,0.00222326857142857
"15","PP10773","M55009-0028",1093.33686465807,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-87.988333,44.415556,NA,0.383228915662651,92,9,91,2e-08
"16","PP10774","M55009-0028",1266.97973908587,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-87.988333,44.415556,NA,0.516945652173913,92,0,91,5e-08
"17","PP108","M55009-0028",1303.62931521215,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-87.988333,44.415556,NA,4.60642391304348,92,0,91,0.00050012
