"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M09009-1123",1635.24207940526,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-72.916944,41.310833,17.1896739130435,142.732260869565,0,0,91,49.5495310441917
"2","PP1001","M09009-1123",1235.99651064189,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-72.916944,41.310833,17.1896739130435,232.484772727273,0,4,91,78.1505458044521
"3","PP10075","M09009-1123",1585.9190232862,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-72.916944,41.310833,17.1896739130435,15.3283,0,22,91,109.222298488216
"4","PP1008","M09009-1123",1156.05565982813,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-72.916944,41.310833,17.1896739130435,177.649362068966,0,34,91,68.9259839287429
"5","PP1010","M09009-1123",1245.49462514037,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-72.916944,41.310833,17.1896739130435,193.883464788732,0,21,91,76.2055725404921
"6","PP1012","M09009-1123",1291.98786223274,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-72.916944,41.310833,17.1896739130435,17.1713448275862,0,5,91,68.5084802352933
"7","PP10343","M09009-1123",302.463283869827,0,-0.00433483573144716,0.0819230181498632,0.318989627448002,0,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-72.916944,41.310833,17.1896739130435,1.51985227272727,0,4,91,78.2287544083634
"8","PP1040","M09009-1123",1027.38360000257,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-72.916944,41.310833,17.1896739130435,35.7298695652174,0,0,91,76.7582417052612
"9","PP1043","M09009-1123",1263.72382907959,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-72.916944,41.310833,17.1896739130435,52.81425,0,40,91,71.27871605501
"10","PP1046","M09009-1123",1474.78630643915,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-72.916944,41.310833,17.1896739130435,6.44823684210526,0,54,91,89.1636955961347
"11","PP1048","M09009-1123",1443.23551257231,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-72.916944,41.310833,17.1896739130435,15.2080543478261,0,0,91,86.403749330387
"12","PP1058","M09009-1123",1560.80088380266,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-72.916944,41.310833,17.1896739130435,3.2285,0,84,91,86.453195957858
"13","PP1073","M09009-1123",1558.59939445348,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-72.916944,41.310833,17.1896739130435,13.1931463414634,0,10,91,86.3079811777252
"14","PP1077","M09009-1123",1659.04601884038,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-72.916944,41.310833,17.1896739130435,8.76861038961039,0,15,91,86.1213707444773
"15","PP10773","M09009-1123",719.314726225884,2,0.00171044597091043,0.710394533468357,0.875706363700005,0,1000,2005-06-01,2005-08-31,13,5,-79.2726,37.1183,-72.916944,41.310833,17.1896739130435,0.383228915662651,0,9,91,47.7264214744699
"16","PP10774","M09009-1123",626.177880835537,2,0.00482931142070444,0.504296548956174,0.741448453029617,0,1000,2005-06-01,2005-08-31,13,5,-76.9953,36.6525,-72.916944,41.310833,17.1896739130435,0.516945652173913,0,0,91,33.0804647605358
