"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M12033-0025",245.145813168381,0,0.00052568219642863,0.751607822615521,0.897074245976576,0,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-87.256,30.437,14.770652173913,142.732260869565,0,0,91,168.123073764797
"2","PP1001","M12033-0025",1052.64438520412,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-87.256,30.437,14.770652173913,232.484772727273,0,4,91,179.100732741504
"3","PP10075","M12033-0025",1923.44673213036,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-87.256,30.437,14.770652173913,15.3283,0,22,91,169.326110145121
"4","PP1008","M12033-0025",877.915116979384,2,-0.00117149080558063,0.846763823121467,0.95228986151419,0,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-87.256,30.437,14.770652173913,177.649362068966,0,34,91,188.952912796092
"5","PP1010","M12033-0025",1008.91163294365,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-87.256,30.437,14.770652173913,193.883464788732,0,21,91,179.075794260651
"6","PP1012","M12033-0025",828.982140562516,2,-0.00273299320594712,0.591130687701703,0.824522091907553,0,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-87.256,30.437,14.770652173913,17.1713448275862,0,5,91,179.529264427765
"7","PP10343","M12033-0025",1508.10593614758,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-87.256,30.437,14.770652173913,1.51985227272727,0,4,91,223.662038275345
"8","PP1040","M12033-0025",1061.00940474998,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-87.256,30.437,14.770652173913,35.7298695652174,0,0,91,192.395737053915
"9","PP1043","M12033-0025",896.679114626964,2,0.00345432138527097,0.576645585541872,0.816075308953645,0,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-87.256,30.437,14.770652173913,52.81425,0,40,91,179.937184069484
"10","PP1046","M12033-0025",1373.12345871856,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-87.256,30.437,14.770652173913,6.44823684210526,0,54,91,166.152647445175
"11","PP1048","M12033-0025",1289.70919869179,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-87.256,30.437,14.770652173913,15.2080543478261,0,0,91,167.098896174319
"12","PP1058","M12033-0025",1340.80388386743,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-87.256,30.437,14.770652173913,3.2285,0,84,91,161.447797639352
"13","PP1073","M12033-0025",1335.80106232981,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-87.256,30.437,14.770652173913,13.1931463414634,0,10,91,161.507791572238
"14","PP1077","M12033-0025",1382.54590600488,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-87.256,30.437,14.770652173913,8.76861038961039,0,15,91,156.920551258132
