"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M12011-0035",1029.04880484613,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-80.169817,26.132677,NA,142.732260869565,92,0,91,132.207453552496
"2","PP1001","M12011-0035",1671.52345666915,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-80.169817,26.132677,NA,232.484772727273,92,4,91,154.020622769011
"3","PP10075","M12011-0035",2554.99051625106,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-80.169817,26.132677,NA,15.3283,92,22,91,154.572095165666
"4","PP1008","M12011-0035",1446.67848944952,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-80.169817,26.132677,NA,177.649362068966,92,34,91,156.760352560561
"5","PP1010","M12011-0035",1632.22128568065,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-80.169817,26.132677,NA,193.883464788732,92,21,91,153.371647450911
"6","PP1012","M12011-0035",1469.36839425166,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-80.169817,26.132677,NA,17.1713448275862,92,5,91,150.648609658261
"7","PP10343","M12011-0035",1663.64325067426,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-80.169817,26.132677,NA,1.51985227272727,92,4,91,193.048370784224
"8","PP1040","M12011-0035",1578.48349960779,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-80.169817,26.132677,NA,35.7298695652174,92,0,91,162.4145673026
"9","PP1043","M12011-0035",1526.27214064967,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-80.169817,26.132677,NA,52.81425,92,40,91,152.079223883506
"10","PP1046","M12011-0035",2052.74911532366,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-80.169817,26.132677,NA,6.44823684210526,92,54,91,148.885800516338
