"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M05119-1004",476.365664917262,1,0.000275716189845768,0.860800273263632,0.939276153962285,0,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-92.243587,34.729603,20.4913043478261,142.732260869565,0,0,91,300.918389245284
"2","PP1001","M05119-1004",717.060017672486,2,-0.000500466137302226,0.849754556273501,0.932698985259054,0,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-92.243587,34.729603,20.4913043478261,232.484772727273,0,4,91,218.006719993842
"3","PP10075","M05119-1004",1426.07875466794,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-92.243587,34.729603,20.4913043478261,15.3283,0,22,91,184.950066219976
"4","PP1008","M05119-1004",694.805325889861,2,0.00232841095694189,0.663729513266846,0.831064050182739,0,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-92.243587,34.729603,20.4913043478261,177.649362068966,0,34,91,237.593230092736
"5","PP1010","M05119-1004",683.267188870501,2,0.000288661970014755,0.913588681803151,0.961059466249785,0,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-92.243587,34.729603,20.4913043478261,193.883464788732,0,21,91,220.271953187904
"6","PP1012","M05119-1004",565.085355807679,1,0.00134969706492467,0.753485071775018,0.876886639929061,0,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-92.243587,34.729603,20.4913043478261,17.1713448275862,0,5,91,232.842645483145
"7","PP10343","M05119-1004",1543.05129516177,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-92.243587,34.729603,20.4913043478261,1.51985227272727,0,4,91,249.139274752013
"8","PP1040","M05119-1004",860.742037304854,2,0.0016122442268481,0.274470418317065,0.525327903271528,0,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-92.243587,34.729603,20.4913043478261,35.7298695652174,0,0,91,231.455617694744
"9","PP1043","M05119-1004",612.300370348542,1,-0.00885050339108321,0.0524415219564915,0.234457304413814,0,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-92.243587,34.729603,20.4913043478261,52.81425,0,40,91,228.135221317619
"10","PP1046","M05119-1004",874.252649818799,2,0.00230028599771991,0.440139663912673,0.689623920262974,0,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-92.243587,34.729603,20.4913043478261,6.44823684210526,0,54,91,189.623104340827
"11","PP1048","M05119-1004",805.092526982024,2,-0.000269693439894539,0.924917723306584,0.968230943519965,0,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-92.243587,34.729603,20.4913043478261,15.2080543478261,0,0,91,193.245137361339
"12","PP1058","M05119-1004",806.82069038033,2,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-92.243587,34.729603,20.4913043478261,3.2285,0,84,91,183.752383159317
"13","PP1073","M05119-1004",802.555271344729,2,0.00349625619217311,0.223831325427551,0.478428311123031,0,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-92.243587,34.729603,20.4913043478261,13.1931463414634,0,10,91,183.969366455611
"14","PP1077","M05119-1004",814.082854685697,2,-0.00120954260695453,0.796808758631774,0.899778241036673,0,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-92.243587,34.729603,20.4913043478261,8.76861038961039,0,15,91,175.995110647024
"15","PP10773","M05119-1004",1199.2078482836,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-79.2726,37.1183,-92.243587,34.729603,20.4913043478261,0.383228915662651,0,9,91,261.113148088521
"16","PP10774","M05119-1004",1395.03726900919,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.9953,36.6525,-92.243587,34.729603,20.4913043478261,0.516945652173913,0,0,91,265.730432903787
"17","PP108","M05119-1004",859.985236899076,2,-0.0198844504227286,0.00760642482823502,0.0808088499078829,0,1000,2005-06-01,2005-08-31,13,5,-100.9725,37.9306,-92.243587,34.729603,20.4913043478261,4.60642391304348,0,0,91,111.746117125534
"18","PP1081","M05119-1004",772.156432534761,2,0.00283781703808053,0.696886466946176,0.845310671473211,0,1000,2005-06-01,2005-08-31,13,5,-90.4483,41.5404,-92.243587,34.729603,20.4913043478261,8.83638202247191,0,3,91,192.323560332654
"19","PP1091","M05119-1004",916.745109645266,2,-3.66601098061177e-05,0.976066762438116,0.988037392543489,0,1000,2005-06-01,2005-08-31,13,5,-96.3797,42.3251,-92.243587,34.729603,20.4913043478261,69.104988372093,0,6,91,155.52548174823
"20","PP1104","M05119-1004",674.576152186514,2,-0.0167856184799323,0.0108269696935725,0.0963187441487075,0,1000,2005-06-01,2005-08-31,13,5,-91.1168,40.7412,-92.243587,34.729603,20.4913043478261,15.6445384615385,0,1,91,188.81599379058
"21","PP1122","M05119-1004",818.473122282556,2,0.0056803129263858,0.000727517213688694,0.0216840547302213,1,1000,2005-06-01,2005-08-31,13,5,-93.6069,42.0247,-92.243587,34.729603,20.4913043478261,4.60428888888889,0,2,91,171.2013713273
"22","PP113","M05119-1004",1649.86721801066,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.3033,34.9394,-92.243587,34.729603,20.4913043478261,65.3253586956522,0,0,91,85.6134912490897
"23","PP1131","M05119-1004",865.721020388732,2,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.4394,42.5267,-92.243587,34.729603,20.4913043478261,5.26251315789474,0,16,91,178.809326510689
"24","PP1167","M05119-1004",746.759267235205,2,0.0023682509195845,0.101051829815123,0.32957025346999,0,1000,2005-06-01,2005-08-31,13,5,-91.0569,41.3917,-92.243587,34.729603,20.4913043478261,9.19611956521739,0,0,91,188.387511897154
"25","PP1175","M05119-1004",742.525813262803,2,0.00629003006215215,0.0192226599368372,0.141273384330318,0,1000,2005-06-01,2005-08-31,13,5,-92.9144,41.3981,-92.243587,34.729603,20.4913043478261,1.98909523809524,0,8,91,175.243096793475
"26","PP1217","M05119-1004",971.554636716159,3,-0.00648027181018706,0.478397406525004,0.71557132453171,0,1000,2005-06-01,2005-08-31,13,5,-95.2569,43.1606,-92.243587,34.729603,20.4913043478261,6.16370930232558,0,6,91,163.439037783499
"27","PP1218","M05119-1004",757.015060190496,2,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.8233,41.4569,-92.243587,34.729603,20.4913043478261,22.8831282051282,0,14,91,189.917027831271
"28","PP1239","M05119-1004",341.533970473521,1,-0.000497839484635204,0.797473538887116,0.899778241036673,0,1000,2005-06-01,2005-08-31,13,5,-94.6986,37.0719,-92.243587,34.729603,20.4913043478261,12.3639534883721,0,6,91,138.817226532085
"29","PP1241","M05119-1004",455.106008662163,1,-0.00516235665395794,0.0207667029033204,0.146596527731992,0,1000,2005-06-01,2005-08-31,13,5,-94.6389,38.3472,-92.243587,34.729603,20.4913043478261,86.4613409090909,0,4,91,151.163338175088
"30","PP1250","M05119-1004",545.92429200221,1,0.00806945290747904,0.00553034392996399,0.0690006864750158,0,1000,2005-06-01,2005-08-31,13,5,-95.2692,39.0072,-92.243587,34.729603,20.4913043478261,11.8929885057471,0,5,91,149.470530425635
"31","PP1252","M05119-1004",563.695469633614,1,0.0037469834631186,0.0268286337099239,0.161725415566002,0,1000,2005-06-01,2005-08-31,13,5,-95.5669,39.0522,-92.243587,34.729603,20.4913043478261,14.3125652173913,0,0,91,147.291544691724
"32","PP126","M05119-1004",1755.74089015408,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.9047,32.16,-92.243587,34.729603,20.4913043478261,11.3513804347826,0,0,91,75.5788187096994
"33","PP127","M05119-1004",641.219962997737,2,0.0094076848951453,0.430862733867354,0.688549706039369,0,1000,2005-06-01,2005-08-31,13,5,-99.1753,34.0825,-92.243587,34.729603,20.4913043478261,13.9272666666667,0,2,91,81.6215003631441
"34","PP1295","M05119-1004",534.817322440949,1,0.00640889229128864,0.00236376115497361,0.0398206579663552,1,1000,2005-06-01,2005-08-31,13,5,-94.6405,39.1486,-92.243587,34.729603,20.4913043478261,19.2452386363636,0,4,91,155.742655187566
"35","PP1353","M05119-1004",943.022049713753,3,-0.00392385900356635,0.02636706975729,0.16074923778166,0,1000,2005-06-01,2005-08-31,13,5,-82.6176,38.1707,-92.243587,34.729603,20.4913043478261,143.361094117647,0,7,91,249.049380238721
"36","PP1355","M05119-1004",756.713226206719,2,0.0128984832346676,0.000771607061519473,0.0223766047840647,1,1000,2005-06-01,2005-08-31,13,5,-84.7139,37.7889,-92.243587,34.729603,20.4913043478261,162.904101265823,0,13,91,245.623584747003
"37","PP1356","M05119-1004",782.873421074686,2,-0.00351795609063774,0.0345683158220482,0.18453633272168,0,1000,2005-06-01,2005-08-31,13,5,-85.035,38.7497,-92.243587,34.729603,20.4913043478261,158.662011363636,0,4,91,237.481207391236
