"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M09001-2124",1577.10288344577,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-73.528889,41.063056,NA,142.732260869565,92,0,91,49.4202380896198
"2","PP1001","M09001-2124",1183.73648581824,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-73.528889,41.063056,NA,232.484772727273,92,4,91,79.376577196665
"3","PP10075","M09001-2124",1557.48480689876,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-73.528889,41.063056,NA,15.3283,92,22,91,111.094622146588
"4","PP1008","M09001-2124",1099.95069677976,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-73.528889,41.063056,NA,177.649362068966,92,34,91,69.725863661381
"5","PP1010","M09001-2124",1192.35541137217,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-73.528889,41.063056,NA,193.883464788732,92,21,91,77.3342034284369
"6","PP1012","M09001-2124",1236.01554728916,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-73.528889,41.063056,NA,17.1713448275862,92,5,91,69.2445507042957
"7","PP10343","M09001-2124",247.929450416305,0,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-73.528889,41.063056,NA,1.51985227272727,92,4,91,82.5142873346982
"8","PP1040","M09001-2124",973.84248666831,3,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-73.528889,41.063056,NA,35.7298695652174,92,0,91,78.0778614926481
"9","PP1043","M09001-2124",1208.62583541609,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-73.528889,41.063056,NA,52.81425,92,40,91,72.1604806885852
"10","PP1046","M09001-2124",1430.01396554372,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-73.528889,41.063056,NA,6.44823684210526,92,54,91,90.6466434288356
"11","PP1048","M09001-2124",1396.48025360939,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-73.528889,41.063056,NA,15.2080543478261,92,0,91,87.8175492994537
"12","PP1058","M09001-2124",1514.65692148609,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-73.528889,41.063056,NA,3.2285,92,84,91,87.7908651240788
"13","PP1073","M09001-2124",1512.34898571461,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-73.528889,41.063056,NA,13.1931463414634,92,10,91,87.6423546281057
"14","PP1077","M09001-2124",1613.18192636416,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-73.528889,41.063056,NA,8.76861038961039,92,15,91,87.3929578651928
"15","PP10773","M09001-2124",662.077752889574,2,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-79.2726,37.1183,-73.528889,41.063056,NA,0.383228915662651,92,9,91,46.8267968539639
"16","PP10774","M09001-2124",574.566724836708,1,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.9953,36.6525,-73.528889,41.063056,NA,0.516945652173913,92,0,91,30.4967989675899
"17","PP108","M09001-2124",2376.07164092928,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-100.9725,37.9306,-73.528889,41.063056,NA,4.60642391304348,92,0,91,72.9476591899711
"18","PP1081","M09001-2124",1415.73164909927,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.4483,41.5404,-73.528889,41.063056,NA,8.83638202247191,92,3,91,86.5202446275715
"19","PP1091","M09001-2124",1901.66621530967,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-96.3797,42.3251,-73.528889,41.063056,NA,69.104988372093,92,6,91,86.5015759395202
"20","PP1104","M09001-2124",1479.86647389676,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.1168,40.7412,-73.528889,41.063056,NA,15.6445384615385,92,1,91,82.8452053806414
"21","PP1122","M09001-2124",1674.8525801125,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-93.6069,42.0247,-73.528889,41.063056,NA,4.60428888888889,92,2,91,86.9138674456666
"22","PP113","M09001-2124",3275.31149083322,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.3033,34.9394,-73.528889,41.063056,NA,65.3253586956522,92,0,91,66.9386021381852
"23","PP1131","M09001-2124",1576.84100076655,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.4394,42.5267,-73.528889,41.063056,NA,5.26251315789474,92,16,91,89.51727782475
