"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M01103-0011",225.356479355524,0,0.00476657784398104,0.00339330802839571,0.0469327955476702,1,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-86.976939,34.518735,17.841847826087,142.732260869565,0,0,91,19.1296704135329
"2","PP1001","M01103-0011",601.207993111694,1,0.00298033614484602,0.281730575612438,0.581572829349122,0,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-86.976939,34.518735,17.841847826087,232.484772727273,0,4,91,176.051026084465
"3","PP10075","M01103-0011",1482.0020208827,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-86.976939,34.518735,17.841847826087,15.3283,0,22,91,165.773019682251
"4","PP1008","M01103-0011",427.921862930792,1,-0.000814907789331031,0.890334503359778,0.962883826495757,0,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-86.976939,34.518735,17.841847826087,177.649362068966,0,34,91,194.154099485508
"5","PP1010","M01103-0011",557.569145704814,1,0.00624694857330149,0.0324776867853023,0.185965530164238,0,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-86.976939,34.518735,17.841847826087,193.883464788732,0,21,91,175.765974079403
"6","PP1012","M01103-0011",377.619111014119,1,0.00447505654584501,0.367770095269789,0.664345499944098,0,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-86.976939,34.518735,17.841847826087,17.1713448275862,0,5,91,175.118479398378
"7","PP10343","M01103-0011",1160.25145890806,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-86.976939,34.518735,17.841847826087,1.51985227272727,0,4,91,236.37445362858
"8","PP1040","M01103-0011",614.837985227738,1,0.00150032222238056,0.397548146222934,0.690348858693053,0,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-86.976939,34.518735,17.841847826087,35.7298695652174,0,0,91,198.136787130394
"9","PP1043","M01103-0011",444.784621873795,1,-0.00638884548874549,0.26742662212333,0.565021637391966,0,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-86.976939,34.518735,17.841847826087,52.81425,0,40,91,176.573816896687
"10","PP1046","M01103-0011",942.561873508877,3,-0.00227307376982827,0.351786474965308,0.650845425173285,0,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-86.976939,34.518735,17.841847826087,6.44823684210526,0,54,91,158.952775132829
"11","PP1048","M01103-0011",857.823853821715,2,-0.000877620190208673,0.78690883432464,0.921579576990812,0,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-86.976939,34.518735,17.841847826087,15.2080543478261,0,0,91,159.54019486258
"12","PP1058","M01103-0011",924.44102051327,2,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-86.976939,34.518735,17.841847826087,3.2285,0,84,91,152.152957919908
"13","PP1073","M01103-0011",919.350940220275,2,0.00237382133035668,0.501149302179921,0.768786002060754,0,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-86.976939,34.518735,17.841847826087,13.1931463414634,0,10,91,152.180721965247
"14","PP1077","M01103-0011",981.004107626475,3,-0.0102614220298147,0.0309050297911982,0.18064725746998,0,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-86.976939,34.518735,17.841847826087,8.76861038961039,0,15,91,146.488720134152
"15","PP10773","M01103-0011",753.313656562164,2,0.00418586807811862,0.410702343919983,0.700190454391359,0,1000,2005-06-01,2005-08-31,13,5,-79.2726,37.1183,-86.976939,34.518735,17.841847826087,0.383228915662651,0,9,91,249.78638118708
"16","PP10774","M01103-0011",934.626065265957,2,0.0130817027037771,0.080359347990025,0.298347371365613,0,1000,2005-06-01,2005-08-31,13,5,-76.9953,36.6525,-86.976939,34.518735,17.841847826087,0.516945652173913,0,0,91,258.281049397527
"17","PP108","M01103-0011",1312.50707070461,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-100.9725,37.9306,-86.976939,34.518735,17.841847826087,4.60642391304348,0,0,91,102.513347335099
"18","PP1081","M01103-0011",836.659622130797,2,0.00808558729038206,0.356852279770672,0.653785333460448,0,1000,2005-06-01,2005-08-31,13,5,-90.4483,41.5404,-86.976939,34.518735,17.841847826087,8.83638202247191,0,3,91,157.552911277857
"19","PP1091","M01103-0011",1192.27901569504,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-96.3797,42.3251,-86.976939,34.518735,17.841847826087,69.104988372093,0,6,91,133.523494006871
"20","PP1104","M01103-0011",781.108183545727,2,-0.00671305170611242,0.326527455948136,0.624440042338986,0,1000,2005-06-01,2005-08-31,13,5,-91.1168,40.7412,-86.976939,34.518735,17.841847826087,15.6445384615385,0,1,91,150.827598147776
"21","PP1122","M01103-0011",1014.52567428059,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-93.6069,42.0247,-86.976939,34.518735,17.841847826087,4.60428888888889,0,2,91,143.041243298332
"22","PP113","M01103-0011",2132.07522261313,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.3033,34.9394,-86.976939,34.518735,17.841847826087,65.3253586956522,0,0,91,84.5266353368705
"23","PP1131","M01103-0011",1007.9664886197,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.4394,42.5267,-86.976939,34.518735,17.841847826087,5.26251315789474,0,16,91,150.0713948168
"24","PP1167","M01103-0011",842.672388237005,2,-0.00134325570565898,0.370678236058264,0.667900968457275,0,1000,2005-06-01,2005-08-31,13,5,-91.0569,41.3917,-86.976939,34.518735,17.841847826087,9.19611956521739,0,0,91,153.545664033325
"25","PP1175","M01103-0011",924.292728388891,2,0.00491908954278137,0.0796955077606143,0.298347371365613,0,1000,2005-06-01,2005-08-31,13,5,-92.9144,41.3981,-86.976939,34.518735,17.841847826087,1.98909523809524,0,8,91,143.783201997774
"26","PP1217","M01103-0011",1197.46355445506,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-95.2569,43.1606,-86.976939,34.518735,17.841847826087,6.16370930232558,0,6,91,140.474626180726
"27","PP1218","M01103-0011",840.738076150802,2,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.8233,41.4569,-86.976939,34.518735,17.841847826087,22.8831282051282,0,14,91,155.103624292848
"28","PP1239","M01103-0011",752.999012808224,2,0.0016450489469293,0.416742930560898,0.706197683884041,0,1000,2005-06-01,2005-08-31,13,5,-94.6986,37.0719,-86.976939,34.518735,17.841847826087,12.3639534883721,0,6,91,109.796892603379
"29","PP1241","M01103-0011",807.334636158853,2,-0.00153515214966013,0.504903895514012,0.76930275468543,0,1000,2005-06-01,2005-08-31,13,5,-94.6389,38.3472,-86.976939,34.518735,17.841847826087,86.4613409090909,0,4,91,119.409335101668
"30","PP1250","M01103-0011",891.7353136342,2,-0.00177742533285214,0.611245121308204,0.82437156049573,0,1000,2005-06-01,2005-08-31,13,5,-95.2692,39.0072,-86.976939,34.518735,17.841847826087,11.8929885057471,0,5,91,121.391455240112
"31","PP1252","M01103-0011",916.402261652926,2,0.000937667001065832,0.641988357525123,0.842261278676915,0,1000,2005-06-01,2005-08-31,13,5,-95.5669,39.0522,-86.976939,34.518735,17.841847826087,14.3125652173913,0,0,91,120.637394677803
"32","PP126","M01103-0011",2237.56240357594,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.9047,32.16,-86.976939,34.518735,17.841847826087,11.3513804347826,0,0,91,76.7548308426185
"33","PP127","M01103-0011",1123.31846006736,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-99.1753,34.0825,-86.976939,34.518735,17.841847826087,13.9272666666667,0,2,91,84.0958337595149
"34","PP1295","M01103-0011",854.636990697927,2,0.00562695524172199,0.0126961816650862,0.105212239621221,0,1000,2005-06-01,2005-08-31,13,5,-94.6405,39.1486,-86.976939,34.518735,17.841847826087,19.2452386363636,0,4,91,124.577883725362
"35","PP1353","M01103-0011",563.208926536933,1,-0.00412235259052016,0.0178443769864441,0.125614180650094,0,1000,2005-06-01,2005-08-31,13,5,-82.6176,38.1707,-86.976939,34.518735,17.841847826087,143.361094117647,0,7,91,225.311300456229
"36","PP1355","M01103-0011",416.067966370189,1,0.0207817221527655,1.69534735932649e-08,6.65932442743447e-06,1,1000,2005-06-01,2005-08-31,13,5,-84.7139,37.7889,-86.976939,34.518735,17.841847826087,162.904101265823,0,13,91,209.976371079535
"37","PP1356","M01103-0011",500.573437631358,1,-0.000385926626982438,0.845896161606392,0.943898335014211,0,1000,2005-06-01,2005-08-31,13,5,-85.035,38.7497,-86.976939,34.518735,17.841847826087,158.662011363636,0,4,91,200.885852476084
"38","PP136","M01103-0011",731.727306067862,2,0.00435599708369521,0.0894586183421614,0.317715599320081,0,1000,2005-06-01,2005-08-31,13,5,-81.6339,29.7333,-86.976939,34.518735,17.841847826087,94.4782826086957,0,0,91,317.858650387592
"39","PP1361","M01103-0011",435.766803686189,1,0.00506602538073658,0.583314592054188,0.816037925916373,0,1000,2005-06-01,2005-08-31,13,5,-84.8483,38.0478,-86.976939,34.518735,17.841847826087,9.6974347826087,0,0,91,206.66474289707
"40","PP1363","M01103-0011",418.132966796285,1,-0.00161876816632157,0.609839442087848,0.82437156049573,0,1000,2005-06-01,2005-08-31,13,5,-85.8894,38.1828,-86.976939,34.518735,17.841847826087,57.4235632183908,0,5,91,193.826091270862
"41","PP1364","M01103-0011",403.725067785669,1,-0.00741943991451216,0.0332107535941855,0.1880725683128,0,1000,2005-06-01,2005-08-31,13,5,-85.91,38.0531,-86.976939,34.518735,17.841847826087,69.6929661016949,0,33,91,194.052131415065
"42","PP1372","M01103-0011",373.23661902348,1,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.5912,37.8453,-86.976939,34.518735,17.841847826087,6.61208333333333,0,80,91,171.303629755008
"43","PP1374","M01103-0011",363.70879673926,1,-0.000739297808198657,0.91327584145932,0.971349334943011,0,1000,2005-06-01,2005-08-31,13,5,-87.0597,37.7958,-86.976939,34.518735,17.841847826087,16.827358974359,0,14,91,178.802156884829
"44","PP1378","M01103-0011",304.253772643361,0,-0.0023033455114069,0.444808538066902,0.729827876995318,0,1000,2005-06-01,2005-08-31,13,5,-86.9783,37.2608,-86.976939,34.518735,17.841847826087,299.692436619718,0,21,91,179.976457756753
"45","PP1379","M01103-0011",334.257466266781,1,0.00160557038649537,0.121768914549289,0.382035380470932,0,1000,2005-06-01,2005-08-31,13,5,-88.775,37.1517,-86.976939,34.518735,17.841847826087,108.766151898734,0,13,91,150.391633695506
"46","PP1381","M01103-0011",382.53106261949,1,0.00570694383675362,0.0074878648384671,0.0747016245528588,0,1000,2005-06-01,2005-08-31,13,5,-86.7917,37.9628,-86.976939,34.518735,17.841847826087,162.479735632184,0,5,91,182.549939732469
