"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M05045-0002",511.792327443168,1,-3.59932015924604e-05,0.980193506169992,0.991894875754424,0,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-92.427859,35.105193,20.7413043478261,142.732260869565,0,0,91,304.130852977389
"2","PP1001","M05045-0002",693.626467880586,2,0.000658845562931812,0.788503437414687,0.898550181232343,0,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-92.427859,35.105193,20.7413043478261,232.484772727273,0,4,91,221.129010424015
"3","PP10075","M05045-0002",1385.83013029729,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-92.427859,35.105193,20.7413043478261,15.3283,0,22,91,185.77165198883
"4","PP1008","M05045-0002",685.108612684116,2,0.00160916213236231,0.744986801890322,0.881070131965348,0,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-92.427859,35.105193,20.7413043478261,177.649362068966,0,34,91,241.245208002948
"5","PP1010","M05045-0002",661.455696396757,2,0.00429824709877777,0.0915632908629761,0.317469442910155,0,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-92.427859,35.105193,20.7413043478261,193.883464788732,0,21,91,223.627550333319
"6","PP1012","M05045-0002",552.756450170684,1,0.00548420471691497,0.198508892157528,0.456434659537478,0,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-92.427859,35.105193,20.7413043478261,17.1713448275862,0,5,91,237.279968740603
"7","PP10343","M05045-0002",1536.9359320924,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-92.427859,35.105193,20.7413043478261,1.51985227272727,0,4,91,250.812067813113
"8","PP1040","M05045-0002",845.633901396093,2,0.000661906764237724,0.650761469771216,0.83331615049412,0,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-92.427859,35.105193,20.7413043478261,35.7298695652174,0,0,91,234.30692342437
"9","PP1043","M05045-0002",596.257967385363,1,-0.0116661824894997,0.00538247378499073,0.0656765310880119,0,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-92.427859,35.105193,20.7413043478261,52.81425,0,40,91,232.12282049993
"10","PP1046","M05045-0002",835.872041389755,2,-0.00209516284010107,0.401746977548227,0.65788920197477,0,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-92.427859,35.105193,20.7413043478261,6.44823684210526,0,54,91,191.195001097751
