"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M10003-1012",1335.56899288755,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-75.761299,39.691962,20.091847826087,142.732260869565,0,0,91,50.5285293489223
"2","PP1001","M10003-1012",998.602386837466,3,0.00131127562349612,0.698559516549534,0.91670714274902,0,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-75.761299,39.691962,20.091847826087,232.484772727273,0,4,91,87.7295472334503
"3","PP10075","M10003-1012",1497.1706629517,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-75.761299,39.691962,20.091847826087,15.3283,0,22,91,120.025557281709
"4","PP1008","M10003-1012",886.965914211962,2,0.00371738642899325,0.597685672783991,0.882168595980816,0,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-75.761299,39.691962,20.091847826087,177.649362068966,0,34,91,76.5591923013726
"5","PP1010","M10003-1012",1001.06707862817,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-75.761299,39.691962,20.091847826087,193.883464788732,0,21,91,85.2492336546214
"6","PP1012","M10003-1012",1023.18366094569,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-75.761299,39.691962,20.091847826087,17.1713448275862,0,5,91,75.2669264789362
"7","PP10343","M10003-1012",137.340971494042,0,0.002946885367522,0.373663835479135,0.753301947397616,0,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-75.761299,39.691962,20.091847826087,1.51985227272727,0,4,91,154.367976520796
"8","PP1040","M10003-1012",782.610835145884,2,0.00302703222429092,0.0744726421961533,0.397282902792556,0,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-75.761299,39.691962,20.091847826087,35.7298695652174,0,0,91,87.9748587623994
"9","PP1043","M10003-1012",1002.89414950582,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-75.761299,39.691962,20.091847826087,52.81425,0,40,91,78.9407826760048
"10","PP1046","M10003-1012",1287.57495870584,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-75.761299,39.691962,20.091847826087,6.44823684210526,0,54,91,99.0368131877419
"11","PP1048","M10003-1012",1243.09330764065,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-75.761299,39.691962,20.091847826087,15.2080543478261,0,0,91,96.0864118212084
"12","PP1058","M10003-1012",1363.46183947445,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-75.761299,39.691962,20.091847826087,3.2285,0,84,91,95.4522419588294
"13","PP1073","M10003-1012",1360.5696255023,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-75.761299,39.691962,20.091847826087,13.1931463414634,0,10,91,95.2987152842908
"14","PP1077","M10003-1012",1462.60481508301,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-75.761299,39.691962,20.091847826087,8.76861038961039,0,15,91,94.5871488863146
"15","PP10773","M10003-1012",419.078521471894,1,-0.00255212794304258,0.596411543698429,0.882168595980816,0,1000,2005-06-01,2005-08-31,13,5,-79.2726,37.1183,-75.761299,39.691962,20.091847826087,0.383228915662651,0,9,91,45.9518479537177
"16","PP10774","M10003-1012",354.275622746221,1,0.0151171350446598,0.0498421624241639,0.354518355293925,0,1000,2005-06-01,2005-08-31,13,5,-76.9953,36.6525,-75.761299,39.691962,20.091847826087,0.516945652173913,0,0,91,17.3919146426763
"17","PP108","M10003-1012",2191.21576104413,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-100.9725,37.9306,-75.761299,39.691962,20.091847826087,4.60642391304348,0,0,91,76.9999831721734
"18","PP1081","M10003-1012",1258.07078780894,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.4483,41.5404,-75.761299,39.691962,20.091847826087,8.83638202247191,0,3,91,94.5307998399995
"19","PP1091","M10003-1012",1754.49101735222,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-96.3797,42.3251,-75.761299,39.691962,20.091847826087,69.104988372093,0,6,91,92.6585745754376
"20","PP1104","M10003-1012",1310.60651069928,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.1168,40.7412,-75.761299,39.691962,20.091847826087,15.6445384615385,0,1,91,90.0879632675957
"21","PP1122","M10003-1012",1523.87831549969,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-93.6069,42.0247,-75.761299,39.691962,20.091847826087,4.60428888888889,0,2,91,93.8247200171987
"22","PP113","M10003-1012",3087.42983016884,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.3033,34.9394,-75.761299,39.691962,20.091847826087,65.3253586956522,0,0,91,69.8380550660589
"23","PP1131","M10003-1012",1433.27613800853,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.4394,42.5267,-75.761299,39.691962,20.091847826087,5.26251315789474,0,16,91,97.0705402791464
"24","PP1167","M10003-1012",1307.6768152153,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.0569,41.3917,-75.761299,39.691962,20.091847826087,9.19611956521739,0,0,91,93.2498785474162
"25","PP1175","M10003-1012",1462.90065130536,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.9144,41.3981,-75.761299,39.691962,20.091847826087,1.98909523809524,0,8,91,91.7733383014336
"26","PP1217","M10003-1012",1670.38550982305,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-95.2569,43.1606,-75.761299,39.691962,20.091847826087,6.16370930232558,0,6,91,96.6859248182419
"27","PP1218","M10003-1012",1288.6293604398,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.8233,41.4569,-75.761299,39.691962,20.091847826087,22.8831282051282,0,14,91,93.771058957412
"28","PP1239","M10003-1012",1676.72323326267,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-94.6986,37.0719,-75.761299,39.691962,20.091847826087,12.3639534883721,0,6,91,74.2073281500397
